Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,AND_2008_EML,6.0,6.0,1.0,1.0
Resource Identifier,AND_2008_EML,6.0,6.0,1.0,1.0
Resource Title,AND_2008_EML,6.0,6.0,1.0,1.0
Author / Originator,AND_2008_EML,12.0,6.0,2.0,1.0
Metadata Contact,AND_2008_EML,12.0,6.0,2.0,1.0
Contributor Name,AND_2008_EML,59.0,6.0,9.83,1.0
Publisher,AND_2008_EML,2.0,2.0,0.33,0.3333333333333333
Publication Date,AND_2008_EML,6.0,6.0,1.0,1.0
Resource Contact,AND_2008_EML,6.0,6.0,1.0,1.0
Abstract,AND_2008_EML,6.0,6.0,1.0,1.0
Keyword,AND_2008_EML,81.0,6.0,13.5,1.0
Resource Distribution,AND_2008_EML,6.0,6.0,1.0,1.0
Spatial Extent,AND_2008_EML,6.0,6.0,1.0,1.0
Taxonomic Extent,AND_2008_EML,2.0,2.0,0.33,0.3333333333333333
Temporal Extent,AND_2008_EML,6.0,6.0,1.0,1.0
Maintenance,AND_2008_EML,2.0,2.0,0.33,0.3333333333333333
Resource Use Constraints,AND_2008_EML,6.0,6.0,1.0,1.0
Process Step,AND_2008_EML,6.0,6.0,1.0,1.0
Project Description,AND_2008_EML,6.0,6.0,1.0,1.0
Entity Type Definition,AND_2008_EML,21.0,6.0,3.5,1.0
Attribute Definition,AND_2008_EML,205.0,6.0,34.17,1.0
Resource Access Constraints,AND_2008_EML,2.0,2.0,0.33,0.3333333333333333
Resource Format,AND_2008_EML,3.0,2.0,0.5,0.3333333333333333
Attribute List,AND_2008_EML,21.0,6.0,3.5,1.0
Attribute Constraints,AND_2008_EML,6.0,2.0,1.0,0.3333333333333333
Resource Quality Description,AND_2008_EML,0.0,0.0,0.0,0.0
