XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,AND_2014_EML,12,12,12,12.0
/eml:eml/@packageId,AND_2014_EML,12,12,1.00,1.0
/eml:eml/@system,AND_2014_EML,12,12,1.00,1.0
/eml:eml/@xsi:schemaLocation,AND_2014_EML,12,12,1.00,1.0
/eml:eml/access/@authSystem,AND_2014_EML,12,12,1.00,1.0
/eml:eml/access/@order,AND_2014_EML,12,12,1.00,1.0
/eml:eml/access/@scope,AND_2014_EML,12,12,1.00,1.0
/eml:eml/access/allow/permission,AND_2014_EML,24,12,2.00,1.0
/eml:eml/access/allow/principal,AND_2014_EML,24,12,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,AND_2014_EML,48,6,4.00,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,AND_2014_EML,48,6,4.00,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,AND_2014_EML,48,6,4.00,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,AND_2014_EML,48,6,4.00,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,AND_2014_EML,48,6,4.00,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,AND_2014_EML,48,6,4.00,0.5
/eml:eml/dataset/abstract/para,AND_2014_EML,11,10,0.92,0.8333333333333334
/eml:eml/dataset/additionalInfo/para,AND_2014_EML,16,5,1.33,0.4166666666666667
/eml:eml/dataset/additionalInfo/para/emphasis,AND_2014_EML,4,3,0.33,0.25
/eml:eml/dataset/alternateIdentifier,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/associatedParty/address/administrativeArea,AND_2014_EML,48,12,4.00,1.0
/eml:eml/dataset/associatedParty/address/city,AND_2014_EML,44,12,3.67,1.0
/eml:eml/dataset/associatedParty/address/country,AND_2014_EML,44,11,3.67,0.9166666666666666
/eml:eml/dataset/associatedParty/address/deliveryPoint,AND_2014_EML,40,12,3.33,1.0
/eml:eml/dataset/associatedParty/address/postalCode,AND_2014_EML,42,12,3.50,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,AND_2014_EML,63,12,5.25,1.0
/eml:eml/dataset/associatedParty/individualName/givenName,AND_2014_EML,91,12,7.58,1.0
/eml:eml/dataset/associatedParty/individualName/surName,AND_2014_EML,53,12,4.42,1.0
/eml:eml/dataset/associatedParty/onlineUrl,AND_2014_EML,8,5,0.67,0.4166666666666667
/eml:eml/dataset/associatedParty/phone,AND_2014_EML,40,10,3.33,0.8333333333333334
/eml:eml/dataset/associatedParty/role,AND_2014_EML,53,12,4.42,1.0
/eml:eml/dataset/contact/address/administrativeArea,AND_2014_EML,17,12,1.42,1.0
/eml:eml/dataset/contact/address/city,AND_2014_EML,15,12,1.25,1.0
/eml:eml/dataset/contact/address/country,AND_2014_EML,5,3,0.42,0.25
/eml:eml/dataset/contact/address/deliveryPoint,AND_2014_EML,39,12,3.25,1.0
/eml:eml/dataset/contact/address/postalCode,AND_2014_EML,15,12,1.25,1.0
/eml:eml/dataset/contact/electronicMailAddress,AND_2014_EML,22,12,1.83,1.0
/eml:eml/dataset/contact/individualName/givenName,AND_2014_EML,13,5,1.08,0.4166666666666667
/eml:eml/dataset/contact/individualName/surName,AND_2014_EML,7,5,0.58,0.4166666666666667
/eml:eml/dataset/contact/onlineUrl,AND_2014_EML,13,12,1.08,1.0
/eml:eml/dataset/contact/phone,AND_2014_EML,15,12,1.25,1.0
/eml:eml/dataset/contact/phone/@phonetype,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/positionName,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,AND_2014_EML,10,10,0.83,0.8333333333333334
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,AND_2014_EML,10,10,0.83,0.8333333333333334
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,AND_2014_EML,10,10,0.83,0.8333333333333334
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,AND_2014_EML,10,10,0.83,0.8333333333333334
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,AND_2014_EML,10,10,0.83,0.8333333333333334
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,1,1,0.08,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,3,1,0.25,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,3,1,0.25,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,4,1,0.33,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,4,1,0.33,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,7,1,0.58,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,7,1,0.58,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,10,1,0.83,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,10,1,0.83,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,AND_2014_EML,2,1,0.17,0.08333333333333333
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/creator/address/administrativeArea,AND_2014_EML,14,10,1.17,0.8333333333333334
/eml:eml/dataset/creator/address/city,AND_2014_EML,14,10,1.17,0.8333333333333334
/eml:eml/dataset/creator/address/country,AND_2014_EML,8,8,0.67,0.6666666666666666
/eml:eml/dataset/creator/address/deliveryPoint,AND_2014_EML,22,10,1.83,0.8333333333333334
/eml:eml/dataset/creator/address/postalCode,AND_2014_EML,12,9,1.00,0.75
/eml:eml/dataset/creator/electronicMailAddress,AND_2014_EML,18,11,1.50,0.9166666666666666
/eml:eml/dataset/creator/individualName/givenName,AND_2014_EML,21,12,1.75,1.0
/eml:eml/dataset/creator/individualName/surName,AND_2014_EML,12,12,1.00,1.0
/eml:eml/dataset/creator/onlineUrl,AND_2014_EML,6,6,0.50,0.5
/eml:eml/dataset/creator/organizationName,AND_2014_EML,4,4,0.33,0.3333333333333333
/eml:eml/dataset/creator/phone,AND_2014_EML,14,10,1.17,0.8333333333333334
/eml:eml/dataset/creator/phone/@phonetype,AND_2014_EML,4,4,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/@id,AND_2014_EML,24,5,2.00,0.4166666666666667
/eml:eml/dataset/dataTable/alternateIdentifier,AND_2014_EML,24,5,2.00,0.4166666666666667
/eml:eml/dataset/dataTable/attributeList/attribute/@id,AND_2014_EML,427,5,35.58,0.4166666666666667
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,AND_2014_EML,427,5,35.58,0.4166666666666667
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,AND_2014_EML,427,5,35.58,0.4166666666666667
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum,AND_2014_EML,21,3,1.75,0.25
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum/@exclusive,AND_2014_EML,21,3,1.75,0.25
