XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,15,15,1.00,100.00%
/eml:eml/@packageId,2017_EML,15,15,1.00,100.00%
/eml:eml/@system,2017_EML,15,15,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2017_EML,15,15,1.00,100.00%
/eml:eml/access,2017_EML,75,15,5.00,100.00%
/eml:eml/access/@authSystem,2017_EML,15,15,1.00,100.00%
/eml:eml/access/@order,2017_EML,15,15,1.00,100.00%
/eml:eml/access/@scope,2017_EML,15,15,1.00,100.00%
/eml:eml/access/@system,2017_EML,15,15,1.00,100.00%
/eml:eml/access/allow/permission,2017_EML,30,15,2.00,100.00%
/eml:eml/access/allow/principal,2017_EML,30,15,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2017_EML,56,15,3.73,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2017_EML,56,15,3.73,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2017_EML,38,15,2.53,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2017_EML,54,15,3.60,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2017_EML,48,15,3.20,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2017_EML,48,15,3.20,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2017_EML,56,15,3.73,100.00%
/eml:eml/dataset/abstract,2017_EML,15,15,1.00,100.00%
/eml:eml/dataset/abstract/para,2017_EML,15,15,1.00,100.00%
/eml:eml/dataset/additionalInfo,2017_EML,2,2,0.13,13.33%
/eml:eml/dataset/additionalInfo/para,2017_EML,3,2,0.20,13.33%
/eml:eml/dataset/additionalInfo/para/emphasis,2017_EML,1,1,0.07,6.67%
/eml:eml/dataset/alternateIdentifier,2017_EML,28,15,1.87,100.00%
/eml:eml/dataset/alternateIdentifier/@system,2017_EML,13,13,0.87,86.67%
/eml:eml/dataset/associatedParty,2017_EML,70,15,4.67,100.00%
/eml:eml/dataset/associatedParty/address/administrativeArea,2017_EML,17,14,1.13,93.33%
/eml:eml/dataset/associatedParty/address/city,2017_EML,24,15,1.60,100.00%
/eml:eml/dataset/associatedParty/address/country,2017_EML,16,14,1.07,93.33%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2017_EML,50,15,3.33,100.00%
/eml:eml/dataset/associatedParty/address/postalCode,2017_EML,35,15,2.33,100.00%
/eml:eml/dataset/associatedParty/electronicMailAddress,2017_EML,73,15,4.87,100.00%
/eml:eml/dataset/associatedParty/individualName/givenName,2017_EML,108,15,7.20,100.00%
/eml:eml/dataset/associatedParty/individualName/surName,2017_EML,67,15,4.47,100.00%
