Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Resource Identifier,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Resource Title,ARC_2005_EML,1342.0,1341.0,1.0,1.0
Author / Originator,ARC_2005_EML,1469.0,1341.0,1.1,1.0
Metadata Contact,ARC_2005_EML,623.0,623.0,0.46,0.4645786726323639
Contributor Name,ARC_2005_EML,2558.0,1298.0,1.91,0.9679343773303504
Publisher,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Publication Date,ARC_2005_EML,613.0,613.0,0.46,0.4571215510812826
Resource Contact,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Abstract,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Keyword,ARC_2005_EML,7921.0,1307.0,5.91,0.9746457867263236
Resource Distribution,ARC_2005_EML,1340.0,1340.0,1.0,0.999254287844892
Spatial Extent,ARC_2005_EML,1903.0,1341.0,1.42,1.0
Taxonomic Extent,ARC_2005_EML,130.0,130.0,0.1,0.09694258016405667
Temporal Extent,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Maintenance,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Resource Use Constraints,ARC_2005_EML,1341.0,1341.0,1.0,1.0
Process Step,ARC_2005_EML,1338.0,1338.0,1.0,0.9977628635346756
Project Description,ARC_2005_EML,623.0,623.0,0.46,0.4645786726323639
Entity Type Definition,ARC_2005_EML,661.0,661.0,0.49,0.4929157345264728
Attribute Definition,ARC_2005_EML,14960.0,661.0,11.16,0.4929157345264728
Resource Access Constraints,ARC_2005_EML,440.0,440.0,0.33,0.32811334824757643
Resource Format,ARC_2005_EML,661.0,661.0,0.49,0.4929157345264728
Attribute List,ARC_2005_EML,661.0,661.0,0.49,0.4929157345264728
Attribute Constraints,ARC_2005_EML,0.0,0.0,0.0,0.0
Resource Quality Description,ARC_2005_EML,0.0,0.0,0.0,0.0
