XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,ARC_2005_EML,1363,1363,1363,1363.0
/eml:eml/@packageId,ARC_2005_EML,1341,1341,0.98,0.9838591342626559
/eml:eml/@scope,ARC_2005_EML,747,747,0.55,0.5480557593543653
/eml:eml/@system,ARC_2005_EML,1341,1341,0.98,0.9838591342626559
/eml:eml/@xsi:schemaLocation,ARC_2005_EML,1341,1341,0.98,0.9838591342626559
/eml:eml/access/@authSystem,ARC_2005_EML,440,440,0.32,0.32281731474688186
/eml:eml/access/@order,ARC_2005_EML,440,440,0.32,0.32281731474688186
/eml:eml/access/@scope,ARC_2005_EML,440,440,0.32,0.32281731474688186
/eml:eml/access/allow/permission,ARC_2005_EML,880,440,0.65,0.32281731474688186
/eml:eml/access/allow/principal,ARC_2005_EML,880,440,0.65,0.32281731474688186
/eml:eml/additionalMetadata/VariableDescription/para/literalLayout,ARC_2005_EML,660,660,0.48,0.4842259721203228
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,ARC_2005_EML,902,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,ARC_2005_EML,902,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,ARC_2005_EML,902,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,ARC_2005_EML,902,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,ARC_2005_EML,902,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/metadata/unitList/unit/description,ARC_2005_EML,901,341,0.66,0.25018341892883345
/eml:eml/additionalMetadata/sitetype,ARC_2005_EML,728,680,0.53,0.4988994864269993
/eml:eml/additionalMetadata/stmml:unitList/@convention,ARC_2005_EML,1,1,0.00,0.0007336757153338225
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,ARC_2005_EML,1,1,0.00,0.0007336757153338225
