Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2006.0,10004.2.xml,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,0.0,1.0,1.0,0.0,0.0
2006.0,10004.5.xml,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,1.0,1.0,1.0,0.0,0.0
2006.0,10004.6.xml,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,1.0,1.0,1.0,0.0,0.0
2006.0,10005.1.xml,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,1.0,0.0,0.0
2006.0,10005.6.xml,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2006.0,10005.7.xml,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2006.0,10006.1.xml,1.0,1.0,1.0,1.0,16.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,0.0,1.0,1.0,0.0,0.0
2006.0,10006.2.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,0.0,1.0,1.0,0.0,0.0
2006.0,10006.6.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,12.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0
2006.0,10006.7.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,10.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0
2006.0,10007.1.xml,1.0,1.0,1.0,1.0,14.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0
2006.0,10007.6.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,11.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0
2006.0,10007.7.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0
2006.0,10008.2.xml,1.0,1.0,1.0,1.0,14.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0
2006.0,10008.6.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2006.0,10008.8.xml,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2006.0,1374.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1375.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1376.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1377.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1378.1.xml,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1379.1.xml,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1380.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1381.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1383.1.xml,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1384.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1385.1.xml,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1386.3.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,52.0,0.0,1.0,1.0,0.0,0.0
2006.0,1387.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1388.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1390.2.xml,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,60.0,0.0,1.0,1.0,0.0,0.0
2006.0,1391.1.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,1392.2.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,60.0,0.0,1.0,1.0,0.0,0.0
2006.0,1393.2.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,0.0,1.0,1.0,0.0,0.0
2006.0,1394.2.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,34.0,0.0,1.0,1.0,0.0,0.0
