XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2014_EML,83,83,1.00,100.00%
/eml:eml/@packageId,2014_EML,83,83,1.00,100.00%
/eml:eml/@system,2014_EML,83,83,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2014_EML,83,83,1.00,100.00%
/eml:eml/access,2014_EML,415,83,5.00,100.00%
/eml:eml/access/@authSystem,2014_EML,83,83,1.00,100.00%
/eml:eml/access/@order,2014_EML,83,83,1.00,100.00%
/eml:eml/access/@scope,2014_EML,83,83,1.00,100.00%
/eml:eml/access/allow/permission,2014_EML,166,83,2.00,100.00%
/eml:eml/access/allow/principal,2014_EML,166,83,2.00,100.00%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2014_EML,479,74,5.77,89.16%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2014_EML,162,74,1.95,89.16%
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,2014_EML,479,74,5.77,89.16%
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,2014_EML,127,74,1.53,89.16%
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,2014_EML,346,74,4.17,89.16%
/eml:eml/additionalMetadata/metadata/unitList/unit/description,2014_EML,417,74,5.02,89.16%
/eml:eml/dataset/abstract,2014_EML,83,83,1.00,100.00%
/eml:eml/dataset/abstract/para,2014_EML,83,83,1.00,100.00%
/eml:eml/dataset/alternateIdentifier,2014_EML,83,83,1.00,100.00%
/eml:eml/dataset/associatedParty,2014_EML,181,71,2.18,85.54%
/eml:eml/dataset/associatedParty/address/administrativeArea,2014_EML,120,69,1.45,83.13%
/eml:eml/dataset/associatedParty/address/city,2014_EML,120,69,1.45,83.13%
/eml:eml/dataset/associatedParty/address/country,2014_EML,69,69,0.83,83.13%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2014_EML,273,69,3.29,83.13%
/eml:eml/dataset/associatedParty/address/postalCode,2014_EML,96,66,1.16,79.52%
/eml:eml/dataset/associatedParty/individualName/givenName,2014_EML,181,71,2.18,85.54%
/eml:eml/dataset/associatedParty/individualName/surName,2014_EML,181,71,2.18,85.54%
/eml:eml/dataset/associatedParty/role,2014_EML,73,71,0.88,85.54%
/eml:eml/dataset/contact,2014_EML,83,83,1.00,100.00%
/eml:eml/dataset/contact/@id,2014_EML,83,83,1.00,100.00%
