Concept,ARC_2005_EML,ARC_2006_EML,ARC_2007_EML,ARC_2008_EML,ARC_2009_EML,ARC_2010_EML,ARC_2011_EML,ARC_2012_EML,ARC_2013_EML,ARC_2014_EML,ARC_2015_EML,ARC_2016_EML,ARC_2017_EML,ARC_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.4645786726323639,0.4725274725274725,1.0,1.0,1.0,1.0,1.0,1.0,0.9983974358974358,1.0,1.0,0.24867724867724866,0.8888888888888888,0.9154929577464788
Contributor Name,0.9679343773303504,0.956043956043956,0.9508196721311476,1.0,1.0,0.8684210526315791,0.15873015873015872,1.0,0.8108974358974359,0.8554216867469879,0.8484304932735426,0.7195767195767195,0.8333333333333334,0.9859154929577464
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983974358974358,1.0,1.0,0.24867724867724866,0.8888888888888888,0.9014084507042254
Publication Date,0.4571215510812826,0.4175824175824176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982363315696648,1.0,1.0
Keyword,0.9746457867263236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9859154929577464
Resource Distribution,0.999254287844892,0.978021978021978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9295774647887324
Taxonomic Extent,0.09694258016405667,0.02197802197802198,0.06557377049180327,0.0,0.30952380952380953,0.21052631578947367,0.12698412698412698,0.7127659574468085,0.13942307692307693,0.27710843373493976,0.20448430493273545,0.005291005291005291,0.6666666666666666,0.323943661971831
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894179894179894,0.9444444444444444,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.9977628635346756,0.989010989010989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,0.4645786726323639,0.4725274725274725,1.0,1.0,1.0,1.0,1.0,1.0,0.9983974358974358,1.0,1.0,0.06349206349206349,0.6111111111111112,0.9859154929577464
Entity Type Definition,0.4929157345264728,0.6263736263736264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Attribute Definition,0.4929157345264728,0.6263736263736264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Access Constraints,0.32811334824757643,0.3296703296703297,0.459016393442623,0.42857142857142855,0.6190476190476191,0.7719298245614035,0.9206349206349206,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.4929157345264728,0.6263736263736264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Attribute List,0.4929157345264728,0.6263736263736264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019400352733686062,0.0,0.0
