Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,BES_2012_EML,69.0,69.0,1.0,1.0
Resource Identifier,BES_2012_EML,69.0,69.0,1.0,1.0
Resource Title,BES_2012_EML,69.0,69.0,1.0,1.0
Author / Originator,BES_2012_EML,83.0,69.0,1.2,1.0
Metadata Contact,BES_2012_EML,0.0,0.0,0.0,0.0
Contributor Name,BES_2012_EML,0.0,0.0,0.0,0.0
Publisher,BES_2012_EML,55.0,55.0,0.8,0.7971014492753623
Publication Date,BES_2012_EML,69.0,69.0,1.0,1.0
Resource Contact,BES_2012_EML,69.0,69.0,1.0,1.0
Abstract,BES_2012_EML,69.0,69.0,1.0,1.0
Keyword,BES_2012_EML,307.0,69.0,4.45,1.0
Resource Distribution,BES_2012_EML,69.0,69.0,1.0,1.0
Spatial Extent,BES_2012_EML,69.0,69.0,1.0,1.0
Taxonomic Extent,BES_2012_EML,0.0,0.0,0.0,0.0
Temporal Extent,BES_2012_EML,14.0,14.0,0.2,0.2028985507246377
Maintenance,BES_2012_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,BES_2012_EML,14.0,14.0,0.2,0.2028985507246377
Process Step,BES_2012_EML,0.0,0.0,0.0,0.0
Project Description,BES_2012_EML,0.0,0.0,0.0,0.0
Entity Type Definition,BES_2012_EML,0.0,0.0,0.0,0.0
Attribute Definition,BES_2012_EML,0.0,0.0,0.0,0.0
Resource Access Constraints,BES_2012_EML,14.0,14.0,0.2,0.2028985507246377
Resource Format,BES_2012_EML,0.0,0.0,0.0,0.0
Attribute List,BES_2012_EML,0.0,0.0,0.0,0.0
Attribute Constraints,BES_2012_EML,0.0,0.0,0.0,0.0
Resource Quality Description,BES_2012_EML,0.0,0.0,0.0,0.0
