XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,BES_2012_EML,69,69,69,69.0
/eml:eml/@packageId,BES_2012_EML,69,69,1.00,1.0
/eml:eml/@scope,BES_2012_EML,41,41,0.59,0.5942028985507246
/eml:eml/@system,BES_2012_EML,69,69,1.00,1.0
/eml:eml/@xsi:schemaLocation,BES_2012_EML,69,69,1.00,1.0
/eml:eml/access/@authSystem,BES_2012_EML,14,14,0.20,0.2028985507246377
/eml:eml/access/@order,BES_2012_EML,14,14,0.20,0.2028985507246377
/eml:eml/access/@scope,BES_2012_EML,14,14,0.20,0.2028985507246377
/eml:eml/access/@system,BES_2012_EML,14,14,0.20,0.2028985507246377
/eml:eml/access/allow/permission,BES_2012_EML,28,14,0.41,0.2028985507246377
/eml:eml/access/allow/principal,BES_2012_EML,28,14,0.41,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/additionalMetadata/metadata/unitList/unit/description,BES_2012_EML,56,14,0.81,0.2028985507246377
/eml:eml/dataset/@scope,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/abstract/para,BES_2012_EML,340,69,4.93,1.0
/eml:eml/dataset/access/@authSystem,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/access/@order,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/access/@scope,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/access/allow/permission,BES_2012_EML,102,55,1.48,0.7971014492753623
/eml:eml/dataset/access/allow/principal,BES_2012_EML,102,55,1.48,0.7971014492753623
/eml:eml/dataset/access/deny/permission,BES_2012_EML,8,8,0.12,0.11594202898550725
/eml:eml/dataset/access/deny/principal,BES_2012_EML,8,8,0.12,0.11594202898550725
/eml:eml/dataset/contact/@scope,BES_2012_EML,41,41,0.59,0.5942028985507246
/eml:eml/dataset/contact/address/@scope,BES_2012_EML,41,41,0.59,0.5942028985507246
/eml:eml/dataset/contact/address/administrativeArea,BES_2012_EML,69,69,1.00,1.0
/eml:eml/dataset/contact/address/city,BES_2012_EML,69,69,1.00,1.0
/eml:eml/dataset/contact/address/country,BES_2012_EML,69,69,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,BES_2012_EML,138,69,2.00,1.0
/eml:eml/dataset/contact/address/postalCode,BES_2012_EML,69,69,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,BES_2012_EML,69,69,1.00,1.0
/eml:eml/dataset/contact/individualName/givenName,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/contact/individualName/surName,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/contact/organizationName,BES_2012_EML,55,55,0.80,0.7971014492753623
/eml:eml/dataset/contact/phone,BES_2012_EML,55,55,0.80,0.7971014492753623
