Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2018_EML,115,115,1.00,100.00%
Abstract,2018_EML,115,115,1.00,100.00%
Attribute Definition,2018_EML,697,15,6.06,13.04%
Attribute List,2018_EML,30,15,0.26,13.04%
Author,2018_EML,270,115,2.35,100.00%
Author / Originator,2018_EML,270,115,2.35,100.00%
Author / Originator Email Address,2018_EML,115,115,1.00,100.00%
Author / Originator Identifier,2018_EML,270,115,2.35,100.00%
Author / Originator World Wide Web Address,2018_EML,155,115,1.35,100.00%
Bounding Box,2018_EML,115,115,1.00,100.00%
Distribution Format,2018_EML,15,15,0.13,13.04%
Easternmost Longitude,2018_EML,115,115,1.00,100.00%
End Time,2018_EML,115,115,1.00,100.00%
Entity Type Definition,2018_EML,15,15,0.13,13.04%
Entity and Attribute Information,2018_EML,15,15,0.13,13.04%
Keyword,2018_EML,713,115,6.20,100.00%
Keyword Type,2018_EML,115,115,1.00,100.00%
Metadata Access Constraints,2018_EML,115,115,1.00,100.00%
Metadata Use Constraints,2018_EML,115,115,1.00,100.00%
Northernmost Latitude,2018_EML,115,115,1.00,100.00%
Organization Name,2018_EML,155,115,1.35,100.00%
Originating Organization,2018_EML,155,115,1.35,100.00%
Process Step,2018_EML,15,15,0.13,13.04%
Project Name,2018_EML,155,115,1.35,100.00%
Publication Date,2018_EML,115,115,1.00,100.00%
Resource Access Constraints,2018_EML,115,115,1.00,100.00%
Resource Contact,2018_EML,115,115,1.00,100.00%
Resource Creation/Revision Date,2018_EML,115,115,1.00,100.00%
Resource Distribution,2018_EML,115,115,1.00,100.00%
Resource Format,2018_EML,15,15,0.13,13.04%
Resource Identifier,2018_EML,115,115,1.00,100.00%
Resource Identifier Type,2018_EML,115,115,1.00,100.00%
Resource Lineage,2018_EML,15,15,0.13,13.04%
Resource Long Name,2018_EML,115,115,1.00,100.00%
Resource Status,2018_EML,115,115,1.00,100.00%
Resource Title,2018_EML,115,115,1.00,100.00%
Resource Use Constraints,2018_EML,115,115,1.00,100.00%
Resource on-line Link,2018_EML,115,115,1.00,100.00%
Rights,2018_EML,115,115,1.00,100.00%
Security Constraints,2018_EML,115,115,1.00,100.00%
Southernmost Latitude,2018_EML,115,115,1.00,100.00%
Spatial Extent,2018_EML,115,115,1.00,100.00%
Start Time,2018_EML,115,115,1.00,100.00%
Temporal Extent,2018_EML,115,115,1.00,100.00%
Unknown,2018_EML,10525,115,91.52,100.00%
Westernmost Longitude,2018_EML,115,115,1.00,100.00%
