Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,BNZ_2007_EML,875.0,875.0,1.0,1.0
Resource Identifier,BNZ_2007_EML,875.0,875.0,1.0,1.0
Resource Title,BNZ_2007_EML,875.0,875.0,1.0,1.0
Author / Originator,BNZ_2007_EML,1057.0,875.0,1.21,1.0
Metadata Contact,BNZ_2007_EML,875.0,875.0,1.0,1.0
Contributor Name,BNZ_2007_EML,1232.0,670.0,1.41,0.7657142857142857
Publisher,BNZ_2007_EML,875.0,875.0,1.0,1.0
Publication Date,BNZ_2007_EML,849.0,849.0,0.97,0.9702857142857144
Resource Contact,BNZ_2007_EML,875.0,875.0,1.0,1.0
Abstract,BNZ_2007_EML,773.0,773.0,0.88,0.8834285714285715
Keyword,BNZ_2007_EML,4663.0,854.0,5.33,0.976
Resource Distribution,BNZ_2007_EML,855.0,855.0,0.98,0.9771428571428572
Spatial Extent,BNZ_2007_EML,680.0,680.0,0.78,0.7771428571428571
Taxonomic Extent,BNZ_2007_EML,0.0,0.0,0.0,0.0
Temporal Extent,BNZ_2007_EML,875.0,875.0,1.0,1.0
Maintenance,BNZ_2007_EML,875.0,875.0,1.0,1.0
Resource Use Constraints,BNZ_2007_EML,875.0,875.0,1.0,1.0
Process Step,BNZ_2007_EML,654.0,654.0,0.75,0.7474285714285714
Project Description,BNZ_2007_EML,0.0,0.0,0.0,0.0
Entity Type Definition,BNZ_2007_EML,473.0,301.0,0.54,0.344
Attribute Definition,BNZ_2007_EML,12320.0,698.0,14.08,0.7977142857142857
Resource Access Constraints,BNZ_2007_EML,666.0,666.0,0.76,0.7611428571428571
Resource Format,BNZ_2007_EML,1124.0,698.0,1.28,0.7977142857142857
Attribute List,BNZ_2007_EML,1124.0,698.0,1.28,0.7977142857142857
Attribute Constraints,BNZ_2007_EML,0.0,0.0,0.0,0.0
Resource Quality Description,BNZ_2007_EML,0.0,0.0,0.0,0.0
