XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2008_EML,301,301,1.00,100.00%
/eml:eml/@packageId,2008_EML,230,230,0.76,76.41%
/eml:eml/@scope,2008_EML,301,301,1.00,100.00%
/eml:eml/@system,2008_EML,230,230,0.76,76.41%
/eml:eml/@xsi:schemaLocation,2008_EML,301,301,1.00,100.00%
/eml:eml/access,2008_EML,1150,230,3.82,76.41%
/eml:eml/access/@authSystem,2008_EML,230,230,0.76,76.41%
/eml:eml/access/@order,2008_EML,230,230,0.76,76.41%
/eml:eml/access/@scope,2008_EML,230,230,0.76,76.41%
/eml:eml/access/allow/permission,2008_EML,460,230,1.53,76.41%
/eml:eml/access/allow/principal,2008_EML,460,230,1.53,76.41%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2008_EML,475,158,1.58,52.49%
/eml:eml/additionalMetadata/unitList/unit/@id,2008_EML,203,51,0.67,16.94%
/eml:eml/dataset/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/abstract,2008_EML,222,222,0.74,73.75%
/eml:eml/dataset/abstract/para,2008_EML,222,222,0.74,73.75%
/eml:eml/dataset/abstract/para/literalLayout,2008_EML,68,68,0.23,22.59%
/eml:eml/dataset/access/@authSystem,2008_EML,71,71,0.24,23.59%
/eml:eml/dataset/access/@order,2008_EML,71,71,0.24,23.59%
/eml:eml/dataset/access/@scope,2008_EML,71,71,0.24,23.59%
/eml:eml/dataset/access/allow/permission,2008_EML,142,71,0.47,23.59%
/eml:eml/dataset/access/allow/principal,2008_EML,142,71,0.47,23.59%
/eml:eml/dataset/associatedParty,2008_EML,516,179,1.71,59.47%
/eml:eml/dataset/associatedParty/@scope,2008_EML,66,66,0.22,21.93%
/eml:eml/dataset/associatedParty/address/@scope,2008_EML,63,63,0.21,20.93%
/eml:eml/dataset/associatedParty/address/administrativeArea,2008_EML,485,223,1.61,74.09%
/eml:eml/dataset/associatedParty/address/city,2008_EML,368,223,1.22,74.09%
/eml:eml/dataset/associatedParty/address/country,2008_EML,403,223,1.34,74.09%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2008_EML,520,223,1.73,74.09%
/eml:eml/dataset/associatedParty/address/postalCode,2008_EML,407,223,1.35,74.09%
/eml:eml/dataset/associatedParty/individualName/givenName,2008_EML,1298,239,4.31,79.40%
/eml:eml/dataset/associatedParty/individualName/surName,2008_EML,701,239,2.33,79.40%
/eml:eml/dataset/associatedParty/phone,2008_EML,887,223,2.95,74.09%
/eml:eml/dataset/associatedParty/phone/@phonetype,2008_EML,411,223,1.37,74.09%
/eml:eml/dataset/associatedParty/positionName,2008_EML,461,195,1.53,64.78%
/eml:eml/dataset/associatedParty/role,2008_EML,179,179,0.59,59.47%
/eml:eml/dataset/contact,2008_EML,230,230,0.76,76.41%
/eml:eml/dataset/contact/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/contact/address/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/contact/address/administrativeArea,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/address/city,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/address/country,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2008_EML,903,301,3.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/onlineUrl,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/contact/organizationName,2008_EML,230,230,0.76,76.41%
/eml:eml/dataset/contact/phone,2008_EML,602,301,2.00,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2008_EML,602,301,2.00,100.00%
/eml:eml/dataset/contact/positionName,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/coverage/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/coverage/geographicCoverage,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/@id,2008_EML,279,279,0.93,92.69%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2008_EML,63,63,0.21,20.93%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,2008_EML,34,34,0.11,11.30%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,2008_EML,34,34,0.11,11.30%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,2008_EML,34,34,0.11,11.30%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2008_EML,223,223,0.74,74.09%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2008_EML,239,239,0.79,79.40%
/eml:eml/dataset/coverage/temporalCoverage,2008_EML,230,230,0.76,76.41%
/eml:eml/dataset/coverage/temporalCoverage/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2008_EML,230,230,0.76,76.41%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,2008_EML,230,230,0.76,76.41%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2008_EML,301,301,1.00,100.00%
/eml:eml/dataset/creator,2008_EML,622,230,2.07,76.41%
/eml:eml/dataset/creator/@scope,2008_EML,78,78,0.26,25.91%
/eml:eml/dataset/creator/address/@scope,2008_EML,73,73,0.24,24.25%
/eml:eml/dataset/creator/address/administrativeArea,2008_EML,323,289,1.07,96.01%
/eml:eml/dataset/creator/address/city,2008_EML,317,289,1.05,96.01%
/eml:eml/dataset/creator/address/country,2008_EML,333,289,1.11,96.01%
/eml:eml/dataset/creator/address/deliveryPoint,2008_EML,417,289,1.39,96.01%
/eml:eml/dataset/creator/address/postalCode,2008_EML,330,289,1.10,96.01%
/eml:eml/dataset/creator/electronicMailAddress,2008_EML,588,222,1.95,73.75%
/eml:eml/dataset/creator/individualName/givenName,2008_EML,605,301,2.01,100.00%
/eml:eml/dataset/creator/individualName/surName,2008_EML,349,301,1.16,100.00%
/eml:eml/dataset/creator/onlineUrl,2008_EML,241,182,0.80,60.47%
/eml:eml/dataset/creator/organizationName,2008_EML,64,32,0.21,10.63%
/eml:eml/dataset/creator/phone,2008_EML,623,289,2.07,96.01%
/eml:eml/dataset/creator/phone/@phonetype,2008_EML,524,289,1.74,96.01%
/eml:eml/dataset/creator/positionName,2008_EML,254,237,0.84,78.74%
/eml:eml/dataset/dataTable/@scope,2008_EML,66,66,0.22,21.93%
/eml:eml/dataset/dataTable/attributeList,2008_EML,206,206,0.68,68.44%
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,2008_EML,66,66,0.22,21.93%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,2008_EML,3028,206,10.06,68.44%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,2008_EML,4452,267,14.79,88.70%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,2008_EML,4452,267,14.79,88.70%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2008_EML,181,152,0.60,50.50%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,2008_EML,46,31,0.15,10.30%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,2008_EML,5,5,0.02,1.66%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,2008_EML,51,13,0.17,4.32%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,2008_EML,56,15,0.19,4.98%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,2008_EML,879,179,2.92,59.47%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,2008_EML,138,47,0.46,15.61%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,2008_EML,47,47,0.16,15.61%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,2008_EML,91,47,0.30,15.61%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,2008_EML,47,47,0.16,15.61%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2008_EML,247,247,0.82,82.06%
