XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,BNZ_2013_EML,86,86,86,86.0
/eml:eml/@packageId,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/@scope,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/@system,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/@xsi:schemaLocation,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/access/@authSystem,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/access/@order,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/access/@scope,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/access/allow/permission,BNZ_2013_EML,172,86,2.00,1.0
/eml:eml/access/allow/principal,BNZ_2013_EML,172,86,2.00,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,BNZ_2013_EML,197,62,2.29,0.7209302325581395
/eml:eml/dataset/abstract/para,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/associatedParty/address/administrativeArea,BNZ_2013_EML,63,50,0.73,0.5813953488372093
/eml:eml/dataset/associatedParty/address/city,BNZ_2013_EML,63,50,0.73,0.5813953488372093
/eml:eml/dataset/associatedParty/address/country,BNZ_2013_EML,63,50,0.73,0.5813953488372093
/eml:eml/dataset/associatedParty/address/deliveryPoint,BNZ_2013_EML,63,50,0.73,0.5813953488372093
/eml:eml/dataset/associatedParty/address/postalCode,BNZ_2013_EML,63,50,0.73,0.5813953488372093
/eml:eml/dataset/associatedParty/individualName/givenName,BNZ_2013_EML,111,56,1.29,0.6511627906976745
/eml:eml/dataset/associatedParty/individualName/surName,BNZ_2013_EML,76,56,0.88,0.6511627906976745
/eml:eml/dataset/associatedParty/phone,BNZ_2013_EML,110,53,1.28,0.6162790697674418
/eml:eml/dataset/associatedParty/phone/@phonetype,BNZ_2013_EML,110,53,1.28,0.6162790697674418
/eml:eml/dataset/associatedParty/positionName,BNZ_2013_EML,69,53,0.80,0.6162790697674418
/eml:eml/dataset/associatedParty/role,BNZ_2013_EML,76,56,0.88,0.6511627906976745
/eml:eml/dataset/contact/address/administrativeArea,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/address/city,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/address/country,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,BNZ_2013_EML,258,86,3.00,1.0
/eml:eml/dataset/contact/address/postalCode,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/onlineUrl,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/organizationName,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/contact/phone,BNZ_2013_EML,172,86,2.00,1.0
/eml:eml/dataset/contact/phone/@phonetype,BNZ_2013_EML,172,86,2.00,1.0
/eml:eml/dataset/contact/positionName,BNZ_2013_EML,86,86,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/@id,BNZ_2013_EML,85,85,0.99,0.9883720930232558
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,BNZ_2013_EML,85,85,0.99,0.9883720930232558
