Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,53,54,1.00,101.89%
Abstract,2017_EML,53,53,1.00,100.00%
Attribute Definition,2017_EML,720,53,13.58,100.00%
Attribute List,2017_EML,52,52,0.98,98.11%
Author,2017_EML,187,53,3.53,100.00%
Author / Originator,2017_EML,187,53,3.53,100.00%
Author / Originator Email Address,2017_EML,121,53,2.28,100.00%
Author / Originator World Wide Web Address,2017_EML,184,53,3.47,100.00%
Bounding Box,2017_EML,53,53,1.00,100.00%
Contributor Name,2017_EML,60,23,1.13,43.40%
Contributor Role,2017_EML,23,23,0.43,43.40%
Distribution Format,2017_EML,59,53,1.11,100.00%
Easternmost Longitude,2017_EML,53,53,1.00,100.00%
End Time,2017_EML,53,53,1.00,100.00%
Entity Type Definition,2017_EML,55,53,1.04,100.00%
Entity and Attribute Information,2017_EML,55,53,1.04,100.00%
Keyword,2017_EML,293,52,5.53,98.11%
Keyword Vocabulary,2017_EML,53,53,1.00,100.00%
Maintenance,2017_EML,52,52,0.98,98.11%
Metadata Access Constraints,2017_EML,53,53,1.00,100.00%
Metadata Contact,2017_EML,53,53,1.00,100.00%
Metadata Use Constraints,2017_EML,53,53,1.00,100.00%
Northernmost Latitude,2017_EML,53,53,1.00,100.00%
Organization Name,2017_EML,212,53,4.00,100.00%
Originating Organization,2017_EML,53,53,1.00,100.00%
Process Step,2017_EML,53,53,1.00,100.00%
Project Description,2017_EML,52,52,0.98,98.11%
Project Name,2017_EML,180,52,3.40,98.11%
Publication Date,2017_EML,53,53,1.00,100.00%
Publisher,2017_EML,53,53,1.00,100.00%
Related Resource Citation,2017_EML,53,53,1.00,100.00%
Resource Access Constraints,2017_EML,53,53,1.00,100.00%
Resource Contact,2017_EML,53,53,1.00,100.00%
Resource Creation/Revision Date,2017_EML,53,53,1.00,100.00%
Resource Distribution,2017_EML,52,52,0.98,98.11%
Resource Format,2017_EML,59,53,1.11,100.00%
Resource Identifier,2017_EML,53,53,1.00,100.00%
Resource Identifier Type,2017_EML,52,52,0.98,98.11%
Resource Lineage,2017_EML,53,53,1.00,100.00%
Resource Long Name,2017_EML,53,53,1.00,100.00%
Resource Status,2017_EML,53,53,1.00,100.00%
Resource Title,2017_EML,53,53,1.00,100.00%
Resource Use Constraints,2017_EML,53,53,1.00,100.00%
Resource on-line Link,2017_EML,53,53,1.00,100.00%
Rights,2017_EML,53,53,1.00,100.00%
Security Constraints,2017_EML,53,53,1.00,100.00%
Southernmost Latitude,2017_EML,53,53,1.00,100.00%
Spatial Extent,2017_EML,53,53,1.00,100.00%
Start Time,2017_EML,53,53,1.00,100.00%
Temporal Extent,2017_EML,53,53,1.00,100.00%
Unknown,2017_EML,12928,54,243.92,101.89%
Westernmost Longitude,2017_EML,53,53,1.00,100.00%
