Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CAP_2011_EML,1376.0,1376.0,1.0,1.0
Resource Identifier,CAP_2011_EML,1376.0,1376.0,1.0,1.0
Resource Title,CAP_2011_EML,1376.0,1376.0,1.0,1.0
Author / Originator,CAP_2011_EML,2744.0,1376.0,1.99,1.0
Metadata Contact,CAP_2011_EML,0.0,0.0,0.0,0.0
Contributor Name,CAP_2011_EML,678.0,18.0,0.49,0.01308139534883721
Publisher,CAP_2011_EML,226.0,226.0,0.16,0.1642441860465116
Publication Date,CAP_2011_EML,1307.0,1307.0,0.95,0.9498546511627908
Resource Contact,CAP_2011_EML,1376.0,1376.0,1.0,1.0
Abstract,CAP_2011_EML,1328.0,1328.0,0.97,0.9651162790697676
Keyword,CAP_2011_EML,28772.0,1333.0,20.91,0.96875
Resource Distribution,CAP_2011_EML,1407.0,1368.0,1.02,0.994186046511628
Spatial Extent,CAP_2011_EML,1338.0,1338.0,0.97,0.9723837209302324
Taxonomic Extent,CAP_2011_EML,10.0,10.0,0.01,0.007267441860465115
Temporal Extent,CAP_2011_EML,1341.0,1335.0,0.97,0.970203488372093
Maintenance,CAP_2011_EML,1081.0,1081.0,0.79,0.7856104651162791
Resource Use Constraints,CAP_2011_EML,1364.0,1364.0,0.99,0.9912790697674418
Process Step,CAP_2011_EML,950.0,950.0,0.69,0.6904069767441859
Project Description,CAP_2011_EML,67.0,67.0,0.05,0.04869186046511628
Entity Type Definition,CAP_2011_EML,1746.0,313.0,1.27,0.2274709302325581
Attribute Definition,CAP_2011_EML,25619.0,318.0,18.62,0.2311046511627907
Resource Access Constraints,CAP_2011_EML,1376.0,1376.0,1.0,1.0
Resource Format,CAP_2011_EML,1831.0,318.0,1.33,0.2311046511627907
Attribute List,CAP_2011_EML,1831.0,318.0,1.33,0.2311046511627907
Attribute Constraints,CAP_2011_EML,110.0,35.0,0.08,0.02543604651162791
Resource Quality Description,CAP_2011_EML,0.0,0.0,0.0,0.0
