Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,27,27,1.00,100.00%
Abstract,2017_EML,27,27,1.00,100.00%
Attribute Constraints,2017_EML,3,2,0.11,7.41%
Attribute Definition,2017_EML,2704,23,100.15,85.19%
Attribute List,2017_EML,72,23,2.67,85.19%
Author,2017_EML,118,27,4.37,100.00%
Author / Originator,2017_EML,118,27,4.37,100.00%
Author / Originator Identifier,2017_EML,98,22,3.63,81.48%
Author / Originator Identifier Type,2017_EML,1,1,0.04,3.70%
Author / Originator World Wide Web Address,2017_EML,108,26,4.00,96.30%
Bounding Box,2017_EML,27,27,1.00,100.00%
Contributor Name,2017_EML,22,4,0.81,14.81%
Contributor Role,2017_EML,7,4,0.26,14.81%
Distribution Format,2017_EML,26,23,0.96,85.19%
Easternmost Longitude,2017_EML,27,27,1.00,100.00%
End Time,2017_EML,28,27,1.04,100.00%
Entity Type Definition,2017_EML,71,23,2.63,85.19%
Entity and Attribute Information,2017_EML,71,23,2.63,85.19%
Keyword,2017_EML,552,27,20.44,100.00%
Keyword Type,2017_EML,51,26,1.89,96.30%
Keyword Vocabulary,2017_EML,102,27,3.78,100.00%
Maintenance,2017_EML,4,4,0.15,14.81%
Metadata Access Constraints,2017_EML,27,27,1.00,100.00%
Metadata Contact,2017_EML,43,25,1.59,92.59%
Metadata Use Constraints,2017_EML,27,27,1.00,100.00%
Northernmost Latitude,2017_EML,27,27,1.00,100.00%
Organization Name,2017_EML,142,27,5.26,100.00%
Originating Organization,2017_EML,68,26,2.52,96.30%
Place Keyword,2017_EML,68,25,2.52,92.59%
Process Step,2017_EML,27,27,1.00,100.00%
Project Description,2017_EML,3,3,0.11,11.11%
Project Name,2017_EML,108,26,4.00,96.30%
Publication Date,2017_EML,27,27,1.00,100.00%
Publisher,2017_EML,4,4,0.15,14.81%
Related Resource Citation,2017_EML,3,3,0.11,11.11%
Resource Access Constraints,2017_EML,27,27,1.00,100.00%
Resource Contact,2017_EML,27,27,1.00,100.00%
Resource Creation/Revision Date,2017_EML,27,27,1.00,100.00%
Resource Distribution,2017_EML,27,27,1.00,100.00%
Resource Format,2017_EML,26,23,0.96,85.19%
Resource Identifier,2017_EML,27,27,1.00,100.00%
Resource Identifier Type,2017_EML,27,27,1.00,100.00%
Resource Language,2017_EML,5,5,0.19,18.52%
Resource Lineage,2017_EML,27,27,1.00,100.00%
Resource Long Name,2017_EML,27,27,1.00,100.00%
Resource Status,2017_EML,27,27,1.00,100.00%
Resource Title,2017_EML,27,27,1.00,100.00%
Resource Update Frequency,2017_EML,3,3,0.11,11.11%
Resource Use Constraints,2017_EML,27,27,1.00,100.00%
Resource on-line Link,2017_EML,27,27,1.00,100.00%
Responsible Party Identifier,2017_EML,9,3,0.33,11.11%
Rights,2017_EML,27,27,1.00,100.00%
Security Constraints,2017_EML,27,27,1.00,100.00%
Southernmost Latitude,2017_EML,27,27,1.00,100.00%
Spatial Extent,2017_EML,27,27,1.00,100.00%
Start Time,2017_EML,28,27,1.04,100.00%
Taxonomic Extent,2017_EML,4,4,0.15,14.81%
Temporal Extent,2017_EML,28,27,1.04,100.00%
Unknown,2017_EML,15827,27,586.19,100.00%
Westernmost Longitude,2017_EML,27,27,1.00,100.00%
