Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2007_EML,2,2,1.00,100.00%
Abstract,2007_EML,1,1,0.50,50.00%
Attribute Definition,2007_EML,4,1,2.00,50.00%
Attribute List,2007_EML,1,1,0.50,50.00%
Author,2007_EML,1,1,0.50,50.00%
Author / Originator,2007_EML,1,1,0.50,50.00%
Keyword,2007_EML,11,1,5.50,50.00%
Metadata Access Constraints,2007_EML,1,1,0.50,50.00%
Metadata Use Constraints,2007_EML,1,1,0.50,50.00%
Organization Name,2007_EML,2,1,1.00,50.00%
Originating Organization,2007_EML,1,1,0.50,50.00%
Process Step,2007_EML,1,1,0.50,50.00%
Project Description,2007_EML,1,1,0.50,50.00%
Publisher,2007_EML,1,1,0.50,50.00%
Related Resource Citation,2007_EML,1,1,0.50,50.00%
Resource Access Constraints,2007_EML,1,1,0.50,50.00%
Resource Contact,2007_EML,1,1,0.50,50.00%
Resource Distribution,2007_EML,1,1,0.50,50.00%
Resource Identifier,2007_EML,1,1,0.50,50.00%
Resource Identifier Type,2007_EML,1,1,0.50,50.00%
Resource Lineage,2007_EML,1,1,0.50,50.00%
Resource Long Name,2007_EML,1,1,0.50,50.00%
Resource Status,2007_EML,1,1,0.50,50.00%
Resource Title,2007_EML,1,1,0.50,50.00%
Resource Use Constraints,2007_EML,1,1,0.50,50.00%
Resource on-line Link,2007_EML,1,1,0.50,50.00%
Rights,2007_EML,1,1,0.50,50.00%
Security Constraints,2007_EML,1,1,0.50,50.00%
Unknown,2007_EML,206,2,103.00,100.00%
