XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CCE_2010_EML,8,8,8,8.0
/eml:eml/@packageId,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/@system,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/@xsi:schemaLocation,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/access/@authSystem,CCE_2010_EML,6,6,0.75,0.75
/eml:eml/access/@order,CCE_2010_EML,6,6,0.75,0.75
/eml:eml/access/@scope,CCE_2010_EML,6,6,0.75,0.75
/eml:eml/access/allow/permission,CCE_2010_EML,12,6,1.50,0.75
/eml:eml/access/allow/principal,CCE_2010_EML,12,6,1.50,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,CCE_2010_EML,6,6,0.75,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,CCE_2010_EML,6,6,0.75,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,CCE_2010_EML,10,5,1.25,0.625
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,CCE_2010_EML,23,6,2.88,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,CCE_2010_EML,13,6,1.62,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,CCE_2010_EML,13,6,1.62,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,CCE_2010_EML,20,6,2.50,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,CCE_2010_EML,20,6,2.50,0.75
/eml:eml/additionalMetadata/stmml:unitList/@convention,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/additionalMetadata/stmml:unitList/unit/@abbreviation,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/@constantToSI,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/@id,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/@multiplierToSI,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/@name,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/@unitType,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/additionalMetadata/stmml:unitList/unit/description,CCE_2010_EML,2,1,0.25,0.125
/eml:eml/dataset/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/abstract/para,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/dataset/access/@authSystem,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/dataset/access/@order,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/dataset/access/@scope,CCE_2010_EML,2,2,0.25,0.25
/eml:eml/dataset/access/allow/permission,CCE_2010_EML,4,2,0.50,0.25
/eml:eml/dataset/access/allow/principal,CCE_2010_EML,4,2,0.50,0.25
/eml:eml/dataset/associatedParty/@scope,CCE_2010_EML,6,3,0.75,0.375
/eml:eml/dataset/associatedParty/onlineUrl,CCE_2010_EML,4,2,0.50,0.25
/eml:eml/dataset/associatedParty/organizationName,CCE_2010_EML,6,3,0.75,0.375
/eml:eml/dataset/associatedParty/role,CCE_2010_EML,6,3,0.75,0.375
/eml:eml/dataset/contact/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/address/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/address/administrativeArea,CCE_2010_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/address/city,CCE_2010_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/address/country,CCE_2010_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/address/deliveryPoint,CCE_2010_EML,25,7,3.12,0.875
/eml:eml/dataset/contact/address/postalCode,CCE_2010_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/individualName/givenName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/individualName/surName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/positionName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/creator/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/creator/individualName/givenName,CCE_2010_EML,7,7,0.88,0.875
/eml:eml/dataset/creator/individualName/surName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/creator/organizationName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/creator/positionName,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/dataTable/@scope,CCE_2010_EML,8,8,1.00,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,CCE_2010_EML,27,3,3.38,0.375
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,CCE_2010_EML,59,8,7.38,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@system,CCE_2010_EML,27,3,3.38,0.375
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,CCE_2010_EML,57,8,7.12,1.0
