Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2017.0,10.3.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2017.0,10.4.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2017.0,10.5.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2017.0,104.4.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2017.0,104.5.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2017.0,104.6.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2017.0,104.7.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2017.0,11.3.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
2017.0,11.4.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
2017.0,11.5.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
2017.0,11.6.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
