Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CCE_2018_EML,4.0,4.0,1.0,1.0
Resource Identifier,CCE_2018_EML,4.0,4.0,1.0,1.0
Resource Title,CCE_2018_EML,4.0,4.0,1.0,1.0
Author / Originator,CCE_2018_EML,8.0,4.0,2.0,1.0
Metadata Contact,CCE_2018_EML,4.0,4.0,1.0,1.0
Contributor Name,CCE_2018_EML,0.0,0.0,0.0,0.0
Publisher,CCE_2018_EML,4.0,4.0,1.0,1.0
Publication Date,CCE_2018_EML,4.0,4.0,1.0,1.0
Resource Contact,CCE_2018_EML,4.0,4.0,1.0,1.0
Abstract,CCE_2018_EML,4.0,4.0,1.0,1.0
Keyword,CCE_2018_EML,20.0,4.0,5.0,1.0
Resource Distribution,CCE_2018_EML,4.0,4.0,1.0,1.0
Spatial Extent,CCE_2018_EML,0.0,0.0,0.0,0.0
Taxonomic Extent,CCE_2018_EML,0.0,0.0,0.0,0.0
Temporal Extent,CCE_2018_EML,4.0,4.0,1.0,1.0
Maintenance,CCE_2018_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,CCE_2018_EML,4.0,4.0,1.0,1.0
Process Step,CCE_2018_EML,4.0,4.0,1.0,1.0
Project Description,CCE_2018_EML,0.0,0.0,0.0,0.0
Entity Type Definition,CCE_2018_EML,4.0,4.0,1.0,1.0
Attribute Definition,CCE_2018_EML,63.0,4.0,15.75,1.0
Resource Access Constraints,CCE_2018_EML,4.0,4.0,1.0,1.0
Resource Format,CCE_2018_EML,4.0,4.0,1.0,1.0
Attribute List,CCE_2018_EML,4.0,4.0,1.0,1.0
Attribute Constraints,CCE_2018_EML,0.0,0.0,0.0,0.0
Resource Quality Description,CCE_2018_EML,0.0,0.0,0.0,0.0
