XPath,113.4.xml,272.1.xml,273.1.xml,274.1.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,7.0,6.0,7.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,8.0,6.0,7.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,4.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,8.0,6.0,7.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,4.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,4.0,4.0,4.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,8.0,6.0,7.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,4.0,4.0,3.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,4.0,4.0,3.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,4.0,4.0,2.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,1.0,1.0,1.0,1.0
/eml:eml/dataset/@scope,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier,2.0,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,4.0,4.0,4.0,4.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,4.0,4.0,4.0,4.0
/eml:eml/dataset/dataTable/@id,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,20.0,14.0,13.0,16.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,11.0,14.0,13.0,15.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,20.0,14.0,13.0,16.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,2.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,1.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,7.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,7.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,4.0,6.0,6.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,4.0,4.0,6.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,3.0,1.0,1.0,1.0
