XPath,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.5,0.75,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.5,0.75,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.5,0.75,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.5,0.75,1.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.5,0.75,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.5,0.75,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.5,0.75,0.95,0.9264705882352942,0.9318181818181818,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.5,0.75,0.95,0.9264705882352942,0.9318181818181818,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.5,0.625,0.95,0.9264705882352942,0.9318181818181818,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.5,0.75,1.0,0.9852941176470588,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.5,0.75,1.0,1.0,0.9772727272727272,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,0.5,0.75,0.825,0.8382352941176471,0.8522727272727273,1.0
/eml:eml/additionalMetadata/stmml:unitList/@convention,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@abbreviation,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@constantToSI,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@id,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@multiplierToSI,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@name,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/@unitType,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/unit/description,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,0.0,0.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/access/@authSystem,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/associatedParty/@scope,0.0,0.375,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/electronicMailAddress,0.0,0.0,0.0,0.029411764705882356,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.0,0.0,0.0,0.029411764705882356,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/surName,0.0,0.0,0.0,0.029411764705882356,0.0,0.0
/eml:eml/dataset/associatedParty/onlineUrl,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/organizationName,0.0,0.375,0.0,0.029411764705882356,0.0,0.0
/eml:eml/dataset/associatedParty/role,0.0,0.375,0.0,0.029411764705882356,0.0,0.0
/eml:eml/dataset/contact/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,0.875,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/address/city,1.0,0.875,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/address/country,1.0,0.875,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,0.875,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/address/postalCode,1.0,0.875,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/electronicMailAddress,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/individualName/surName,0.5,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/organizationName,0.5,0.0,1.0,1.0,1.0,1.0
