Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CDR_2011_EML,70.0,70.0,1.0,1.0
Resource Identifier,CDR_2011_EML,70.0,70.0,1.0,1.0
Resource Title,CDR_2011_EML,70.0,70.0,1.0,1.0
Author / Originator,CDR_2011_EML,70.0,70.0,1.0,1.0
Metadata Contact,CDR_2011_EML,70.0,70.0,1.0,1.0
Contributor Name,CDR_2011_EML,0.0,0.0,0.0,0.0
Publisher,CDR_2011_EML,0.0,0.0,0.0,0.0
Publication Date,CDR_2011_EML,70.0,70.0,1.0,1.0
Resource Contact,CDR_2011_EML,70.0,70.0,1.0,1.0
Abstract,CDR_2011_EML,70.0,70.0,1.0,1.0
Keyword,CDR_2011_EML,3835.0,57.0,54.79,0.8142857142857143
Resource Distribution,CDR_2011_EML,0.0,0.0,0.0,0.0
Spatial Extent,CDR_2011_EML,70.0,70.0,1.0,1.0
Taxonomic Extent,CDR_2011_EML,0.0,0.0,0.0,0.0
Temporal Extent,CDR_2011_EML,70.0,70.0,1.0,1.0
Maintenance,CDR_2011_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,CDR_2011_EML,0.0,0.0,0.0,0.0
Process Step,CDR_2011_EML,15.0,15.0,0.21,0.21428571428571427
Project Description,CDR_2011_EML,0.0,0.0,0.0,0.0
Entity Type Definition,CDR_2011_EML,0.0,0.0,0.0,0.0
Attribute Definition,CDR_2011_EML,1021.0,70.0,14.59,1.0
Resource Access Constraints,CDR_2011_EML,70.0,70.0,1.0,1.0
Resource Format,CDR_2011_EML,70.0,70.0,1.0,1.0
Attribute List,CDR_2011_EML,70.0,70.0,1.0,1.0
Attribute Constraints,CDR_2011_EML,0.0,0.0,0.0,0.0
Resource Quality Description,CDR_2011_EML,0.0,0.0,0.0,0.0
