XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,326,326,1.00,100.00%
/eml:eml/@packageId,2012_EML,326,326,1.00,100.00%
/eml:eml/@scope,2012_EML,326,326,1.00,100.00%
/eml:eml/@system,2012_EML,326,326,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2012_EML,326,326,1.00,100.00%
/eml:eml/access,2012_EML,1630,326,5.00,100.00%
/eml:eml/access/@authSystem,2012_EML,326,326,1.00,100.00%
/eml:eml/access/@order,2012_EML,326,326,1.00,100.00%
/eml:eml/access/@scope,2012_EML,326,326,1.00,100.00%
/eml:eml/access/allow/permission,2012_EML,652,326,2.00,100.00%
/eml:eml/access/allow/principal,2012_EML,652,326,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,2012_EML,260,260,0.80,79.75%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2012_EML,226,226,0.69,69.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2012_EML,1119,274,3.43,84.05%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2012_EML,226,226,0.69,69.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2012_EML,1119,274,3.43,84.05%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2012_EML,1089,274,3.34,84.05%
/eml:eml/dataset/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/abstract,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/abstract/para,2012_EML,203,203,0.62,62.27%
/eml:eml/dataset/abstract/para/literalLayout,2012_EML,84,84,0.26,25.77%
/eml:eml/dataset/alternateIdentifier,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/contact/address/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/contact/address/administrativeArea,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/address/city,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/address/country,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2012_EML,978,326,3.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/individualName/givenName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/individualName/surName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/organizationName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/contact/phone,2012_EML,652,326,2.00,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2012_EML,652,326,2.00,100.00%
/eml:eml/dataset/contact/positionName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/coverage/geographicCoverage,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@id,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/creator,2012_EML,652,326,2.00,100.00%
/eml:eml/dataset/creator/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/creator/individualName/givenName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/creator/individualName/surName,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/dataTable/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/dataTable/attributeList,2012_EML,326,326,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,2012_EML,260,260,0.80,79.75%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,2012_EML,3573,326,10.96,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,2012_EML,3594,326,11.02,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,2012_EML,11,10,0.03,3.07%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2012_EML,385,310,1.18,95.09%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,2012_EML,5,5,0.02,1.53%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,2012_EML,5,5,0.02,1.53%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,2012_EML,5,5,0.02,1.53%
