Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,99,100,1.00,101.01%
Abstract,2015_EML,99,99,1.00,100.00%
Attribute Definition,2015_EML,1145,99,11.57,100.00%
Attribute List,2015_EML,98,98,0.99,98.99%
Author,2015_EML,99,99,1.00,100.00%
Author / Originator,2015_EML,99,99,1.00,100.00%
Bounding Box,2015_EML,99,99,1.00,100.00%
Distribution Format,2015_EML,99,99,1.00,100.00%
Easternmost Longitude,2015_EML,99,99,1.00,100.00%
End Time,2015_EML,99,99,1.00,100.00%
Entity Type Definition,2015_EML,99,99,1.00,100.00%
Entity and Attribute Information,2015_EML,99,99,1.00,100.00%
Keyword,2015_EML,1336,92,13.49,92.93%
Keyword Type,2015_EML,99,92,1.00,92.93%
Metadata Access Constraints,2015_EML,99,99,1.00,100.00%
Metadata Contact,2015_EML,99,99,1.00,100.00%
Metadata Use Constraints,2015_EML,99,99,1.00,100.00%
Northernmost Latitude,2015_EML,99,99,1.00,100.00%
Organization Name,2015_EML,297,99,3.00,100.00%
Process Step,2015_EML,92,92,0.93,92.93%
Publication Date,2015_EML,99,99,1.00,100.00%
Resource Access Constraints,2015_EML,99,99,1.00,100.00%
Resource Contact,2015_EML,198,99,2.00,100.00%
Resource Creation/Revision Date,2015_EML,99,99,1.00,100.00%
Resource Format,2015_EML,99,99,1.00,100.00%
Resource Identifier,2015_EML,99,99,1.00,100.00%
Resource Identifier Type,2015_EML,99,99,1.00,100.00%
Resource Lineage,2015_EML,92,92,0.93,92.93%
Resource Long Name,2015_EML,99,99,1.00,100.00%
Resource Status,2015_EML,99,99,1.00,100.00%
Resource Title,2015_EML,99,99,1.00,100.00%
Resource Use Constraints,2015_EML,99,99,1.00,100.00%
Rights,2015_EML,99,99,1.00,100.00%
Security Constraints,2015_EML,99,99,1.00,100.00%
Southernmost Latitude,2015_EML,99,99,1.00,100.00%
Spatial Extent,2015_EML,99,99,1.00,100.00%
Start Time,2015_EML,99,99,1.00,100.00%
Temporal Extent,2015_EML,99,99,1.00,100.00%
Unknown,2015_EML,12370,100,124.95,101.01%
Westernmost Longitude,2015_EML,99,99,1.00,100.00%
