XPath,CDR_2010_EML,CDR_2011_EML,CDR_2012_EML,CDR_2015_EML,CDR_2017_EML,CDR_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.99,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.99,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.96,0.84,0.8,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,4.98,3.97,3.12,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,5.08,4.34,3.43,0.5,0.47,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,4.98,3.97,3.12,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,5.08,4.34,3.43,0.5,0.47,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,4.96,4.34,3.34,0.5,0.47,0.5
/eml:eml/additionalMetadata/unitList/unit/@id,0.01,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.45,0.47,0.62,0.96,0.99,0.99
/eml:eml/dataset/abstract/para/literalLayout,0.55,0.53,0.26,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/contact/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0,3.0,5.0,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/contact/phone,2.0,2.0,2.0,4.0,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0,2.0,4.0,2.0,2.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,2.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@id,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/userId,0.0,0.0,0.0,0.0,0.0,0.01
/eml:eml/dataset/creator/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.01
/eml:eml/dataset/dataTable/@scope,0.97,0.84,0.8,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,11.46,12.53,9.08,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,11.79,14.59,11.28,11.74,11.85,11.77
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,11.79,14.59,11.28,11.74,11.85,11.77
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,1.51,1.27,0.03,0.41,0.39,0.38
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,1.56,1.91,1.21,1.35,1.4,1.39
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimePrecision,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,0.05,0.2,0.02,0.03,0.02,0.01
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,0.05,0.07,0.02,0.02,0.01,0.01
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,0.05,0.2,0.02,0.01,0.0,0.0
