Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2011_EML,6,6,1.00,100.00%
Abstract,2011_EML,6,6,1.00,100.00%
Attribute Definition,2011_EML,38,3,6.33,50.00%
Attribute List,2011_EML,4,3,0.67,50.00%
Author,2011_EML,12,6,2.00,100.00%
Author / Originator,2011_EML,12,6,2.00,100.00%
Author / Originator Email Address,2011_EML,12,6,2.00,100.00%
Author / Originator Identifier,2011_EML,6,6,1.00,100.00%
Author / Originator World Wide Web Address,2011_EML,12,6,2.00,100.00%
Bounding Box,2011_EML,6,6,1.00,100.00%
Contributor Name,2011_EML,7,3,1.17,50.00%
Contributor Role,2011_EML,6,3,1.00,50.00%
Distribution Format,2011_EML,3,3,0.50,50.00%
Easternmost Longitude,2011_EML,6,6,1.00,100.00%
End Time,2011_EML,6,6,1.00,100.00%
Entity Type Definition,2011_EML,4,3,0.67,50.00%
Entity and Attribute Information,2011_EML,4,3,0.67,50.00%
Instrument,2011_EML,4,3,0.67,50.00%
Keyword,2011_EML,70,6,11.67,100.00%
Keyword Type,2011_EML,12,6,2.00,100.00%
Keyword Vocabulary,2011_EML,12,6,2.00,100.00%
Metadata Access Constraints,2011_EML,6,6,1.00,100.00%
Metadata Contact,2011_EML,6,6,1.00,100.00%
Metadata Use Constraints,2011_EML,6,6,1.00,100.00%
Northernmost Latitude,2011_EML,6,6,1.00,100.00%
Organization Name,2011_EML,17,6,2.83,100.00%
Originating Organization,2011_EML,12,6,2.00,100.00%
Place Keyword,2011_EML,18,6,3.00,100.00%
Process Step,2011_EML,6,6,1.00,100.00%
Project Description,2011_EML,6,6,1.00,100.00%
Project Name,2011_EML,12,6,2.00,100.00%
Publication Date,2011_EML,6,6,1.00,100.00%
Publisher,2011_EML,6,6,1.00,100.00%
Related Resource Citation,2011_EML,6,6,1.00,100.00%
Resource Access Constraints,2011_EML,6,6,1.00,100.00%
Resource Contact,2011_EML,6,6,1.00,100.00%
Resource Creation/Revision Date,2011_EML,6,6,1.00,100.00%
Resource Distribution,2011_EML,6,6,1.00,100.00%
Resource Format,2011_EML,3,3,0.50,50.00%
Resource Identifier,2011_EML,6,6,1.00,100.00%
Resource Identifier Type,2011_EML,6,6,1.00,100.00%
Resource Lineage,2011_EML,6,6,1.00,100.00%
Resource Long Name,2011_EML,6,6,1.00,100.00%
Resource Quality Description,2011_EML,3,3,0.50,50.00%
Resource Status,2011_EML,6,6,1.00,100.00%
Resource Title,2011_EML,6,6,1.00,100.00%
Resource Use Constraints,2011_EML,6,6,1.00,100.00%
Resource on-line Link,2011_EML,6,6,1.00,100.00%
Rights,2011_EML,6,6,1.00,100.00%
Security Constraints,2011_EML,6,6,1.00,100.00%
Southernmost Latitude,2011_EML,6,6,1.00,100.00%
Spatial Extent,2011_EML,6,6,1.00,100.00%
Start Time,2011_EML,6,6,1.00,100.00%
Temporal Extent,2011_EML,6,6,1.00,100.00%
Unknown,2011_EML,871,6,145.17,100.00%
Westernmost Longitude,2011_EML,6,6,1.00,100.00%
