XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2011_EML,6,6,1.00,100.00%
/eml:eml/@packageId,2011_EML,6,6,1.00,100.00%
/eml:eml/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/@system,2011_EML,6,6,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2011_EML,6,6,1.00,100.00%
/eml:eml/access,2011_EML,30,6,5.00,100.00%
/eml:eml/access/@authSystem,2011_EML,6,6,1.00,100.00%
/eml:eml/access/@order,2011_EML,6,6,1.00,100.00%
/eml:eml/access/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/access/allow/permission,2011_EML,12,6,2.00,100.00%
/eml:eml/access/allow/principal,2011_EML,12,6,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2011_EML,2,2,0.33,33.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2011_EML,2,2,0.33,33.33%
/eml:eml/dataset/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/abstract,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/abstract/para,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/alternateIdentifier,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/associatedParty,2011_EML,7,3,1.17,50.00%
/eml:eml/dataset/associatedParty/@scope,2011_EML,3,3,0.50,50.00%
/eml:eml/dataset/associatedParty/electronicMailAddress,2011_EML,5,3,0.83,50.00%
/eml:eml/dataset/associatedParty/individualName/givenName,2011_EML,12,3,2.00,50.00%
/eml:eml/dataset/associatedParty/individualName/salutation,2011_EML,3,3,0.50,50.00%
/eml:eml/dataset/associatedParty/individualName/surName,2011_EML,7,3,1.17,50.00%
/eml:eml/dataset/associatedParty/organizationName,2011_EML,5,3,0.83,50.00%
/eml:eml/dataset/associatedParty/role,2011_EML,6,3,1.00,50.00%
/eml:eml/dataset/contact,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/address/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/address/city,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/address/country,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/contact/positionName,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator,2011_EML,24,6,4.00,100.00%
/eml:eml/dataset/creator/@id,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/address/@scope,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/address/administrativeArea,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/creator/address/city,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/creator/address/country,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/address/deliveryPoint,2011_EML,24,6,4.00,100.00%
/eml:eml/dataset/creator/address/postalCode,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/creator/electronicMailAddress,2011_EML,24,6,4.00,100.00%
/eml:eml/dataset/creator/individualName/givenName,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/creator/individualName/salutation,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/individualName/surName,2011_EML,6,6,1.00,100.00%
/eml:eml/dataset/creator/onlineUrl,2011_EML,12,6,2.00,100.00%
/eml:eml/dataset/creator/organizationName,2011_EML,24,6,4.00,100.00%
/eml:eml/dataset/dataTable/@scope,2011_EML,3,3,0.50,50.00%
