Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,CWT_2016_EML,34.0,34.0,1.0,1.0
Resource Identifier,CWT_2016_EML,34.0,34.0,1.0,1.0
Resource Title,CWT_2016_EML,34.0,34.0,1.0,1.0
Author / Originator,CWT_2016_EML,69.0,34.0,2.03,1.0
Metadata Contact,CWT_2016_EML,34.0,34.0,1.0,1.0
Contributor Name,CWT_2016_EML,46.0,24.0,1.35,0.7058823529411765
Publisher,CWT_2016_EML,34.0,34.0,1.0,1.0
Publication Date,CWT_2016_EML,34.0,34.0,1.0,1.0
Resource Contact,CWT_2016_EML,68.0,34.0,2.0,1.0
Abstract,CWT_2016_EML,34.0,34.0,1.0,1.0
Keyword,CWT_2016_EML,542.0,34.0,15.94,1.0
Resource Distribution,CWT_2016_EML,34.0,34.0,1.0,1.0
Spatial Extent,CWT_2016_EML,19.0,19.0,0.56,0.5588235294117647
Taxonomic Extent,CWT_2016_EML,0.0,0.0,0.0,0.0
Temporal Extent,CWT_2016_EML,34.0,34.0,1.0,1.0
Maintenance,CWT_2016_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,CWT_2016_EML,34.0,34.0,1.0,1.0
Process Step,CWT_2016_EML,32.0,32.0,0.94,0.9411764705882352
Project Description,CWT_2016_EML,34.0,34.0,1.0,1.0
Entity Type Definition,CWT_2016_EML,73.0,34.0,2.15,1.0
Attribute Definition,CWT_2016_EML,1877.0,34.0,55.21,1.0
Resource Access Constraints,CWT_2016_EML,34.0,34.0,1.0,1.0
Resource Format,CWT_2016_EML,73.0,34.0,2.15,1.0
Attribute List,CWT_2016_EML,73.0,34.0,2.15,1.0
Attribute Constraints,CWT_2016_EML,0.0,0.0,0.0,0.0
Resource Quality Description,CWT_2016_EML,70.0,33.0,2.06,0.9705882352941176
