Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2017.0,1011.26.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,1.0
2017.0,1047.13.xml,1.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,184.0,1.0,7.0,7.0,0.0,7.0
2017.0,1047.14.xml,1.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,189.0,1.0,8.0,8.0,0.0,8.0
2017.0,1209.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,0.0,1.0
2017.0,3033.26.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0
2017.0,3034.26.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0
2017.0,4076.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0
2017.0,4100.13.xml,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,0.0,1.0
2017.0,4101.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,0.0,1.0
2017.0,4104.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,0.0,1.0
2017.0,4105.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,0.0,1.0
2017.0,4106.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,0.0,1.0
2017.0,4107.13.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,39.0,1.0,1.0,1.0,0.0,1.0
