Concept,CWT_2005_EML,CWT_2007_EML,CWT_2011_EML,CWT_2015_EML,CWT_2016_EML,CWT_2017_EML,CWT_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.006666666666666667,0.0,0.5,0.7747252747252747,0.7058823529411765,0.6923076923076923,0.9090909090909092
Publisher,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.006666666666666667,0.0,1.0,0.9835164835164836,0.9411764705882352,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,0.02666666666666667,0.0,0.5,1.0,1.0,1.0,1.0
Attribute Definition,0.3933333333333333,0.07142857142857142,0.5,1.0,1.0,1.0,1.0
Resource Access Constraints,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.3933333333333333,0.07142857142857142,0.5,1.0,1.0,1.0,1.0
Attribute List,0.3933333333333333,0.07142857142857142,0.5,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.006666666666666667,0.0,0.5,0.989010989010989,0.9705882352941176,1.0,1.0
