Concept,PODAAC__20171110_ISO,PODAAC__20171204_ISO,PODAAC__20180117_ISO
Abstract,100.00%,100.00%,100.00%
Address,100.00%,100.00%,100.00%
Bounding Box,100.00%,100.00%,100.00%
Bounding Polygon,0.13%,0.13%,0.13%
Browse Description,0.93%,0.93%,0.93%
Browse File Name,0.93%,0.93%,0.93%
Browse Format,0.93%,0.93%,0.93%
Browse URL,0.93%,0.93%,0.93%
Cited Resource Identifier,100.00%,100.00%,100.00%
Cited Resource Title,100.00%,100.00%,100.00%
City,100.00%,100.00%,100.00%
Contact Instructions,100.00%,100.00%,100.00%
Coordinate Reference System (CRS),100.00%,100.00%,100.00%
Country,100.00%,100.00%,100.00%
Data Dates,100.00%,100.00%,100.00%
Data Quality Scope,100.00%,100.00%,100.00%
Distribution Contact,100.00%,100.00%,100.00%
Distribution Format,100.00%,100.00%,100.00%
Easternmost Longitude,100.00%,100.00%,100.00%
Email,100.00%,100.00%,100.00%
End Time,100.00%,100.00%,100.00%
Enumerated Domain Value Definition Source,100.00%,100.00%,100.00%
First Name,99.87%,99.87%,99.87%
Format of the Online Resource,100.00%,100.00%,100.00%
Geographic Description,100.00%,100.00%,100.00%
Hours of Service,99.87%,99.87%,99.87%
Instrument,100.00%,100.00%,100.00%
Instrument Keyword,100.00%,100.00%,100.00%
Instrument Keyword Vocabulary,100.00%,100.00%,100.00%
Instrument Short Name,100.00%,100.00%,100.00%
Instrument Type,100.00%,100.00%,100.00%
Keyword,100.00%,100.00%,100.00%
Keyword Type,100.00%,100.00%,100.00%
Keyword Vocabulary,100.00%,100.00%,100.00%
Keyword Vocabulary Citation,100.00%,100.00%,100.00%
Last Name,99.87%,99.87%,99.87%
Metadata Contact,100.00%,100.00%,100.00%
Metadata Dates,100.00%,100.00%,100.00%
Metadata Identifier,100.00%,100.00%,100.00%
Metadata Language,100.00%,100.00%,100.00%
Metadata Modified Date,100.00%,100.00%,100.00%
Metadata Standard Citation,100.00%,100.00%,100.00%
Metadata Standard Version,100.00%,100.00%,100.00%
Middle Name,99.87%,99.87%,99.87%
Northernmost Latitude,100.00%,100.00%,100.00%
Number of Records,100.00%,100.00%,100.00%
Online Resource,100.00%,100.00%,100.00%
Online Resource Description,100.00%,100.00%,100.00%
Online Resource Name/Title,100.00%,100.00%,100.00%
Organization Name,100.00%,100.00%,100.00%
Other Citation Details,100.00%,100.00%,100.00%
Paleo Temporal Coverage,100.00%,100.00%,100.00%
Party,100.00%,100.00%,100.00%
Phone,99.87%,99.87%,99.87%
Place Keyword,100.00%,100.00%,100.00%
Place Keyword Vocabulary,100.00%,100.00%,100.00%
Platform,100.00%,100.00%,100.00%
Platform Description,100.00%,100.00%,100.00%
Platform Keyword,100.00%,100.00%,100.00%
Platform Keyword Vocabulary,100.00%,100.00%,100.00%
Platform Long Name,100.00%,100.00%,100.00%
Platform Short Name,100.00%,100.00%,100.00%
Platform Type,100.00%,100.00%,100.00%
Position Name,100.00%,100.00%,100.00%
Postal_Code,100.00%,100.00%,100.00%
Process Step Description,100.00%,100.00%,100.00%
Processing Level,100.00%,100.00%,100.00%
Processor,100.00%,100.00%,100.00%
Province or State,100.00%,100.00%,100.00%
Publication Date,100.00%,100.00%,100.00%
Publication Information,100.00%,100.00%,100.00%
Purpose,100.00%,100.00%,100.00%
Related Resource Identifier,100.00%,100.00%,100.00%
Related URL,89.47%,89.47%,90.70%
Resource Citation,100.00%,100.00%,100.00%
Resource Contact,100.00%,100.00%,100.00%
Resource Cost or Fees,100.00%,100.00%,100.00%
Resource Creation Date,100.00%,100.00%,100.00%
Resource Creation/Revision Date,100.00%,100.00%,100.00%
Resource Format,100.00%,100.00%,100.00%
Resource Identifier,100.00%,100.00%,100.00%
Resource Language,100.00%,100.00%,100.00%
Resource Lineage,100.00%,100.00%,100.00%
Resource Long Name,100.00%,100.00%,100.00%
Resource Revision Date,100.00%,100.00%,100.00%
Resource Title,100.00%,100.00%,100.00%
Resource Type,100.00%,100.00%,100.00%
Resource Version,100.00%,100.00%,100.00%
Responsibility,100.00%,100.00%,100.00%
Role,100.00%,100.00%,100.00%
Sensor Short Name,100.00%,100.00%,100.00%
Southernmost Latitude,100.00%,100.00%,100.00%
Spatial Extent,100.00%,100.00%,100.00%
Spatial Representation,100.00%,100.00%,100.00%
Standard Name Vocabulary,100.00%,100.00%,100.00%
Start Time,100.00%,100.00%,100.00%
Supplemental Information,100.00%,100.00%,100.00%
Temporal Extent,100.00%,100.00%,100.00%
Theme Keyword,99.73%,99.73%,99.73%
URL,100.00%,100.00%,100.00%
Unknown,100.00%,100.00%,100.00%
VariableType,100.00%,100.00%,100.00%
Web Page,100.00%,100.00%,100.00%
Westernmost Longitude,100.00%,100.00%,100.00%
