XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2007_EML,34,34,1.00,100.00%
/eml:eml/@packageId,2007_EML,34,34,1.00,100.00%
/eml:eml/@scope,2007_EML,34,34,1.00,100.00%
/eml:eml/@system,2007_EML,34,34,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2007_EML,34,34,1.00,100.00%
/eml:eml/additionalMetadata/additionalDataset/DatasetDistributionTypeandRestrictions,2007_EML,34,34,1.00,100.00%
/eml:eml/additionalMetadata/additionalDataset/LTERsites/sitename,2007_EML,4,4,0.12,11.76%
/eml:eml/additionalMetadata/additionalDataset/addDistribution/submissionDate,2007_EML,34,34,1.00,100.00%
/eml:eml/additionalMetadata/additionalDataset/datasetAnomolies/anomolies,2007_EML,1,1,0.03,2.94%
/eml:eml/additionalMetadata/additionalDataset/datasetInfoManagementNotes/notes,2007_EML,33,33,0.97,97.06%
/eml:eml/additionalMetadata/additionalDataset/datasetSubmissionNotes/notes,2007_EML,29,29,0.85,85.29%
/eml:eml/additionalMetadata/additionalDataset/projectPermits/permit,2007_EML,3,3,0.09,8.82%
/eml:eml/additionalMetadata/additionalDataset/researchType,2007_EML,34,34,1.00,100.00%
/eml:eml/additionalMetadata/stmml:unitList/@convention,2007_EML,4,4,0.12,11.76%
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,2007_EML,4,4,0.12,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,2007_EML,4,4,0.12,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,2007_EML,9,4,0.26,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,2007_EML,8,4,0.24,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,2007_EML,9,4,0.26,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@parentSI,2007_EML,2,2,0.06,5.88%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,2007_EML,8,4,0.24,11.76%
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/stmml:description,2007_EML,9,4,0.26,11.76%
/eml:eml/dataset/@id,2007_EML,34,34,1.00,100.00%
/eml:eml/dataset/@scope,2007_EML,34,34,1.00,100.00%
