Collection,Record,Resource Quality Description,Unknown
2010,407.1.xml,1.0,378.0
2010,407.4.xml,1.0,379.0
2010,407.5.xml,1.0,379.0
2010,408.3.xml,1.0,391.0
2010,408.4.xml,1.0,391.0
2010,409.5.xml,1.0,571.0
2010,411.2.xml,1.0,346.0
2010,411.4.xml,1.0,347.0
2010,412.1.xml,1.0,344.0
2010,412.3.xml,1.0,348.0
2010,412.5.xml,1.0,348.0
2010,412.6.xml,1.0,348.0
2010,413.6.xml,1.0,349.0
2010,414.1.xml,1.0,344.0
2010,415.3.xml,1.0,420.0
2010,416.5.xml,1.0,467.0
2010,417.1.xml,0.0,363.0
2010,417.2.xml,0.0,363.0
2010,417.3.xml,0.0,364.0
2010,417.4.xml,0.0,364.0
2010,418.1.xml,0.0,379.0
2010,418.3.xml,0.0,380.0
2010,418.4.xml,0.0,380.0
2010,419.1.xml,0.0,391.0
2010,420.1.xml,0.0,344.0
2010,420.3.xml,0.0,345.0
2010,420.5.xml,0.0,345.0
2010,421.5.xml,1.0,346.0
2010,422.6.xml,1.0,347.0
2010,425.3.xml,1.0,349.0
2010,426.3.xml,1.0,643.0
2010,426.4.xml,1.0,643.0
2010,426.5.xml,1.0,643.0
2010,427.1.xml,1.0,763.0
2010,427.2.xml,1.0,763.0
2010,427.3.xml,1.0,764.0
2010,428.2.xml,1.0,705.0
2010,428.5.xml,1.0,706.0
2010,429.3.xml,1.0,805.0
2010,431.1.xml,0.0,1199.0
2010,431.6.xml,0.0,1201.0
2010,432.5.xml,0.0,634.0
2010,433.1.xml,0.0,676.0
2010,433.6.xml,0.0,678.0
2010,434.4.xml,1.0,391.0
2010,435.4.xml,1.0,363.0
2010,437.4.xml,1.0,347.0
2010,438.1.xml,1.0,344.0
2010,438.3.xml,1.0,349.0
2010,438.6.xml,1.0,349.0
2010,440.4.xml,1.0,349.0
2010,440.6.xml,1.0,349.0
2010,442.2.xml,1.0,360.0
2010,443.5.xml,1.0,437.0
2010,444.1.xml,1.0,435.0
2010,444.4.xml,1.0,436.0
2010,445.1.xml,1.0,476.0
2010,445.2.xml,1.0,476.0
2010,446.5.xml,1.0,435.0
