XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,FCE_2014_EML,25,25,25,25.0
/eml:eml/@packageId,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/@system,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/@xsi:schemaLocation,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/access/@authSystem,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/access/@order,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/access/@scope,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/access/allow/permission,FCE_2014_EML,50,25,2.00,1.0
/eml:eml/access/allow/principal,FCE_2014_EML,50,25,2.00,1.0
/eml:eml/additionalMetadata/metadata/additionalDataset/DatasetDistributionTypeandRestrictions,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/additionalMetadata/metadata/additionalDataset/LTERsites/sitename,FCE_2014_EML,24,24,0.96,0.96
/eml:eml/additionalMetadata/metadata/additionalDataset/addDistribution/submissionDate,FCE_2014_EML,22,22,0.88,0.88
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetInfoManagementNotes/notes,FCE_2014_EML,14,14,0.56,0.56
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetPurpose/para,FCE_2014_EML,2,2,0.08,0.08
/eml:eml/additionalMetadata/metadata/additionalDataset/datasetSubmissionNotes/notes,FCE_2014_EML,1,1,0.04,0.04
/eml:eml/additionalMetadata/metadata/additionalDataset/projectHypotheses/para,FCE_2014_EML,2,2,0.08,0.08
/eml:eml/additionalMetadata/metadata/additionalDataset/projectPermits/permit,FCE_2014_EML,20,14,0.80,0.56
/eml:eml/additionalMetadata/metadata/additionalDataset/researchType,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,FCE_2014_EML,8,8,0.32,0.32
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,FCE_2014_EML,14,8,0.56,0.32
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,FCE_2014_EML,14,8,0.56,0.32
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,FCE_2014_EML,14,8,0.56,0.32
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,FCE_2014_EML,2,2,0.08,0.08
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,FCE_2014_EML,14,8,0.56,0.32
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,FCE_2014_EML,12,8,0.48,0.32
/eml:eml/dataset/@id,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/dataset/abstract/para,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/dataset/alternateIdentifier,FCE_2014_EML,25,25,1.00,1.0
/eml:eml/dataset/associatedParty/address/administrativeArea,FCE_2014_EML,66,25,2.64,1.0
/eml:eml/dataset/associatedParty/address/city,FCE_2014_EML,66,25,2.64,1.0
/eml:eml/dataset/associatedParty/address/country,FCE_2014_EML,66,25,2.64,1.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,FCE_2014_EML,80,25,3.20,1.0
/eml:eml/dataset/associatedParty/address/postalCode,FCE_2014_EML,66,25,2.64,1.0
