Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,FCE_2017_EML,48.0,48.0,1.0,1.0
Resource Identifier,FCE_2017_EML,48.0,48.0,1.0,1.0
Resource Title,FCE_2017_EML,48.0,48.0,1.0,1.0
Author / Originator,FCE_2017_EML,70.0,48.0,1.46,1.0
Metadata Contact,FCE_2017_EML,49.0,48.0,1.02,1.0
Contributor Name,FCE_2017_EML,385.0,48.0,8.02,1.0
Publisher,FCE_2017_EML,48.0,48.0,1.0,1.0
Publication Date,FCE_2017_EML,48.0,48.0,1.0,1.0
Resource Contact,FCE_2017_EML,97.0,48.0,2.02,1.0
Abstract,FCE_2017_EML,48.0,48.0,1.0,1.0
Keyword,FCE_2017_EML,902.0,48.0,18.79,1.0
Resource Distribution,FCE_2017_EML,48.0,48.0,1.0,1.0
Spatial Extent,FCE_2017_EML,95.0,48.0,1.98,1.0
Taxonomic Extent,FCE_2017_EML,11.0,11.0,0.23,0.22916666666666666
Temporal Extent,FCE_2017_EML,48.0,48.0,1.0,1.0
Maintenance,FCE_2017_EML,48.0,48.0,1.0,1.0
Resource Use Constraints,FCE_2017_EML,48.0,48.0,1.0,1.0
Process Step,FCE_2017_EML,48.0,48.0,1.0,1.0
Project Description,FCE_2017_EML,47.0,47.0,0.98,0.9791666666666666
Entity Type Definition,FCE_2017_EML,48.0,48.0,1.0,1.0
Attribute Definition,FCE_2017_EML,631.0,48.0,13.15,1.0
Resource Access Constraints,FCE_2017_EML,48.0,48.0,1.0,1.0
Resource Format,FCE_2017_EML,48.0,48.0,1.0,1.0
Attribute List,FCE_2017_EML,48.0,48.0,1.0,1.0
Attribute Constraints,FCE_2017_EML,0.0,0.0,0.0,0.0
Resource Quality Description,FCE_2017_EML,48.0,48.0,1.0,1.0
