Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,48,48,1.00,100.00%
Abstract,2017_EML,48,48,1.00,100.00%
Attribute Definition,2017_EML,579,48,12.06,100.00%
Attribute List,2017_EML,48,48,1.00,100.00%
Author,2017_EML,70,48,1.46,100.00%
Author / Originator,2017_EML,70,48,1.46,100.00%
Author / Originator Email Address,2017_EML,47,46,0.98,95.83%
Author / Originator World Wide Web Address,2017_EML,68,48,1.42,100.00%
Bounding Box,2017_EML,92,48,1.92,100.00%
Contributor Name,2017_EML,385,48,8.02,100.00%
Contributor Role,2017_EML,187,48,3.90,100.00%
Distribution Format,2017_EML,48,48,1.00,100.00%
Easternmost Longitude,2017_EML,83,48,1.73,100.00%
End Time,2017_EML,48,48,1.00,100.00%
Entity Type Definition,2017_EML,48,48,1.00,100.00%
Entity and Attribute Information,2017_EML,48,48,1.00,100.00%
Instrument,2017_EML,161,47,3.35,97.92%
Keyword,2017_EML,877,48,18.27,100.00%
Keyword Vocabulary,2017_EML,61,47,1.27,97.92%
Maintenance,2017_EML,48,48,1.00,100.00%
Metadata Access Constraints,2017_EML,48,48,1.00,100.00%
Metadata Contact,2017_EML,49,48,1.02,100.00%
Metadata Modified Date,2017_EML,47,47,0.98,97.92%
Metadata Use Constraints,2017_EML,48,48,1.00,100.00%
Northernmost Latitude,2017_EML,89,48,1.85,100.00%
Organization Name,2017_EML,357,48,7.44,100.00%
Originating Organization,2017_EML,65,48,1.35,100.00%
Parent Identifier,2017_EML,47,47,0.98,97.92%
Process Step,2017_EML,48,48,1.00,100.00%
Project Description,2017_EML,47,47,0.98,97.92%
Project Name,2017_EML,68,48,1.42,100.00%
Publication Date,2017_EML,48,48,1.00,100.00%
Publisher,2017_EML,48,48,1.00,100.00%
Publisher E-Mail,2017_EML,48,48,1.00,100.00%
Publisher URL,2017_EML,48,48,1.00,100.00%
Related Resource Citation,2017_EML,47,47,0.98,97.92%
Related Resource Identifier,2017_EML,47,47,0.98,97.92%
Resource Access Constraints,2017_EML,48,48,1.00,100.00%
Resource Contact,2017_EML,97,48,2.02,100.00%
Resource Creation/Revision Date,2017_EML,95,48,1.98,100.00%
Resource Distribution,2017_EML,48,48,1.00,100.00%
Resource Format,2017_EML,48,48,1.00,100.00%
Resource Identifier,2017_EML,48,48,1.00,100.00%
Resource Identifier Type,2017_EML,48,48,1.00,100.00%
Resource Lineage,2017_EML,48,48,1.00,100.00%
Resource Long Name,2017_EML,48,48,1.00,100.00%
Resource Quality Description,2017_EML,48,48,1.00,100.00%
Resource Revision Date,2017_EML,47,47,0.98,97.92%
Resource Status,2017_EML,48,48,1.00,100.00%
Resource Title,2017_EML,48,48,1.00,100.00%
Resource Use Constraints,2017_EML,48,48,1.00,100.00%
Resource on-line Link,2017_EML,48,48,1.00,100.00%
Rights,2017_EML,48,48,1.00,100.00%
Security Constraints,2017_EML,48,48,1.00,100.00%
Southernmost Latitude,2017_EML,80,48,1.67,100.00%
Spatial Extent,2017_EML,95,48,1.98,100.00%
Start Time,2017_EML,48,48,1.00,100.00%
Taxonomic Extent,2017_EML,11,11,0.23,22.92%
Temporal Extent,2017_EML,48,48,1.00,100.00%
Unknown,2017_EML,17941,48,373.77,100.00%
Westernmost Longitude,2017_EML,88,48,1.83,100.00%
