XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,GCE_2008_EML,66,66,66,66.0
/eml:eml/@packageId,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/@system,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/@xsi:schemaLocation,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/access/@authSystem,GCE_2008_EML,58,58,0.88,0.8787878787878788
/eml:eml/access/@order,GCE_2008_EML,58,58,0.88,0.8787878787878788
/eml:eml/access/@scope,GCE_2008_EML,58,58,0.88,0.8787878787878788
/eml:eml/access/allow/permission,GCE_2008_EML,116,58,1.76,0.8787878787878788
/eml:eml/access/allow/principal,GCE_2008_EML,116,58,1.76,0.8787878787878788
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,GCE_2008_EML,4,4,0.06,0.06060606060606061
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,GCE_2008_EML,44,44,0.67,0.6666666666666666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,GCE_2008_EML,2,2,0.03,0.030303030303030304
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,GCE_2008_EML,4,4,0.06,0.06060606060606061
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,GCE_2008_EML,44,44,0.67,0.6666666666666666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,GCE_2008_EML,6,6,0.09,0.09090909090909091
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,GCE_2008_EML,44,44,0.67,0.6666666666666666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,GCE_2008_EML,2,2,0.03,0.030303030303030304
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,GCE_2008_EML,44,44,0.67,0.6666666666666666
/eml:eml/additionalMetadata/stmml:unitList/@convention,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@abbreviation,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/stmml:description,GCE_2008_EML,1,1,0.02,0.015151515151515152
/eml:eml/dataset/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/dataset/abstract/para,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/access/@authSystem,GCE_2008_EML,8,8,0.12,0.12121212121212122
/eml:eml/dataset/access/@order,GCE_2008_EML,8,8,0.12,0.12121212121212122
/eml:eml/dataset/access/@scope,GCE_2008_EML,8,8,0.12,0.12121212121212122
/eml:eml/dataset/access/allow/permission,GCE_2008_EML,16,8,0.24,0.12121212121212122
/eml:eml/dataset/access/allow/principal,GCE_2008_EML,16,8,0.24,0.12121212121212122
/eml:eml/dataset/alternateIdentifier,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/associatedParty/@scope,GCE_2008_EML,83,24,1.26,0.36363636363636365
/eml:eml/dataset/associatedParty/electronicMailAddress,GCE_2008_EML,174,60,2.64,0.9090909090909091
/eml:eml/dataset/associatedParty/individualName/givenName,GCE_2008_EML,265,60,4.02,0.9090909090909091
/eml:eml/dataset/associatedParty/individualName/salutation,GCE_2008_EML,28,20,0.42,0.30303030303030304
/eml:eml/dataset/associatedParty/individualName/surName,GCE_2008_EML,202,60,3.06,0.9090909090909091
/eml:eml/dataset/associatedParty/organizationName,GCE_2008_EML,202,60,3.06,0.9090909090909091
/eml:eml/dataset/associatedParty/role,GCE_2008_EML,202,60,3.06,0.9090909090909091
/eml:eml/dataset/contact/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/dataset/contact/address/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/dataset/contact/address/administrativeArea,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/contact/address/city,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/contact/address/country,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,GCE_2008_EML,132,66,2.00,1.0
/eml:eml/dataset/contact/address/postalCode,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/contact/positionName,GCE_2008_EML,66,66,1.00,1.0
/eml:eml/dataset/coverage/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/dataset/coverage/geographicCoverage/@scope,GCE_2008_EML,26,26,0.39,0.3939393939393939
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,GCE_2008_EML,64,64,0.97,0.9696969696969697
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,GCE_2008_EML,64,64,0.97,0.9696969696969697
