Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2013.0,415.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,415.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,416.3.xml,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,416.5.xml,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,417.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,417.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0
2013.0,418.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,418.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,419.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,419.5.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,420.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,420.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,421.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,421.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,422.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,422.5.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,433.6.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0
2013.0,433.7.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0
2013.0,433.8.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0
2013.0,434.11.xml,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,0.0,1.0
2013.0,434.6.xml,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0
2013.0,434.7.xml,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0
2013.0,434.8.xml,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0
2013.0,434.9.xml,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0
2013.0,435.2.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,435.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,0.0,1.0
2013.0,436.12.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,74.0,1.0,4.0,4.0,0.0,4.0
2013.0,436.13.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,74.0,1.0,4.0,4.0,0.0,4.0
2013.0,436.14.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,74.0,1.0,4.0,4.0,0.0,4.0
