XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2016_EML,41,41,1.00,100.00%
/eml:eml/@packageId,2016_EML,41,41,1.00,100.00%
/eml:eml/@system,2016_EML,41,41,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2016_EML,41,41,1.00,100.00%
/eml:eml/access,2016_EML,205,41,5.00,100.00%
/eml:eml/access/@authSystem,2016_EML,41,41,1.00,100.00%
/eml:eml/access/@order,2016_EML,41,41,1.00,100.00%
/eml:eml/access/@scope,2016_EML,41,41,1.00,100.00%
/eml:eml/access/@system,2016_EML,41,41,1.00,100.00%
/eml:eml/access/allow/permission,2016_EML,82,41,2.00,100.00%
/eml:eml/access/allow/principal,2016_EML,82,41,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2016_EML,34,34,0.83,82.93%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2016_EML,76,28,1.85,68.29%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2016_EML,107,34,2.61,82.93%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2016_EML,50,28,1.22,68.29%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2016_EML,107,34,2.61,82.93%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2016_EML,23,23,0.56,56.10%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2016_EML,74,28,1.80,68.29%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2016_EML,107,34,2.61,82.93%
/eml:eml/dataset/abstract,2016_EML,41,41,1.00,100.00%
/eml:eml/dataset/abstract/para,2016_EML,41,41,1.00,100.00%
/eml:eml/dataset/alternateIdentifier,2016_EML,41,41,1.00,100.00%
/eml:eml/dataset/associatedParty,2016_EML,152,41,3.71,100.00%
/eml:eml/dataset/associatedParty/electronicMailAddress,2016_EML,148,41,3.61,100.00%
/eml:eml/dataset/associatedParty/individualName/givenName,2016_EML,221,41,5.39,100.00%
/eml:eml/dataset/associatedParty/individualName/salutation,2016_EML,15,15,0.37,36.59%
/eml:eml/dataset/associatedParty/individualName/surName,2016_EML,151,41,3.68,100.00%
/eml:eml/dataset/associatedParty/organizationName,2016_EML,91,41,2.22,100.00%
/eml:eml/dataset/associatedParty/role,2016_EML,102,41,2.49,100.00%
/eml:eml/dataset/associatedParty/userId,2016_EML,18,16,0.44,39.02%
/eml:eml/dataset/associatedParty/userId/@directory,2016_EML,16,16,0.39,39.02%
/eml:eml/dataset/contact,2016_EML,77,41,1.88,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2016_EML,77,41,1.88,100.00%
/eml:eml/dataset/contact/address/city,2016_EML,77,41,1.88,100.00%
/eml:eml/dataset/contact/address/country,2016_EML,41,41,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2016_EML,154,41,3.76,100.00%
/eml:eml/dataset/contact/address/postalCode,2016_EML,77,41,1.88,100.00%
