Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,GCE_2018_EML,4.0,4.0,1.0,1.0
Resource Identifier,GCE_2018_EML,4.0,4.0,1.0,1.0
Resource Title,GCE_2018_EML,4.0,4.0,1.0,1.0
Author / Originator,GCE_2018_EML,8.0,4.0,2.0,1.0
Metadata Contact,GCE_2018_EML,4.0,4.0,1.0,1.0
Contributor Name,GCE_2018_EML,13.0,4.0,3.25,1.0
Publisher,GCE_2018_EML,4.0,4.0,1.0,1.0
Publication Date,GCE_2018_EML,4.0,4.0,1.0,1.0
Resource Contact,GCE_2018_EML,4.0,4.0,1.0,1.0
Abstract,GCE_2018_EML,4.0,4.0,1.0,1.0
Keyword,GCE_2018_EML,71.0,4.0,17.75,1.0
Resource Distribution,GCE_2018_EML,4.0,4.0,1.0,1.0
Spatial Extent,GCE_2018_EML,4.0,4.0,1.0,1.0
Taxonomic Extent,GCE_2018_EML,1.0,1.0,0.25,0.25
Temporal Extent,GCE_2018_EML,4.0,4.0,1.0,1.0
Maintenance,GCE_2018_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,GCE_2018_EML,4.0,4.0,1.0,1.0
Process Step,GCE_2018_EML,4.0,4.0,1.0,1.0
Project Description,GCE_2018_EML,4.0,4.0,1.0,1.0
Entity Type Definition,GCE_2018_EML,4.0,4.0,1.0,1.0
Attribute Definition,GCE_2018_EML,74.0,4.0,18.5,1.0
Resource Access Constraints,GCE_2018_EML,4.0,4.0,1.0,1.0
Resource Format,GCE_2018_EML,4.0,4.0,1.0,1.0
Attribute List,GCE_2018_EML,4.0,4.0,1.0,1.0
Attribute Constraints,GCE_2018_EML,0.0,0.0,0.0,0.0
Resource Quality Description,GCE_2018_EML,4.0,4.0,1.0,1.0
