Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2015.0,10.7.xml,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2015.0,11.7.xml,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2015.0,116.9.xml,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,14.0,1.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0
2015.0,119.4.xml,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0
2015.0,120.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,28.0,1.0,1.0,1.0,0.0,0.0
2015.0,121.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0
2015.0,122.3.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0
2015.0,123.5.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0
2015.0,124.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2015.0,125.4.xml,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,13.5.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0
2015.0,13.6.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0
2015.0,136.2.xml,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,12.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0
2015.0,137.2.xml,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,10.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,43.0,1.0,1.0,1.0,0.0,0.0
2015.0,138.3.xml,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,30.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2015.0,14.6.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0
2015.0,142.2.xml,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,17.0,1.0,1.0,1.0,0.0,0.0
2015.0,143.2.xml,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2015.0,2.5.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0
2015.0,25.5.xml,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,27.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,30.0,1.0,3.0,3.0,0.0,0.0
2015.0,27.6.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2015.0,27.7.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2015.0,28.6.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2015.0,28.7.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0
2015.0,29.5.xml,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,29.0,1.0,3.0,3.0,0.0,0.0
2015.0,3.7.xml,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2015.0,30.6.xml,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,31.6.xml,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,32.6.xml,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,33.6.xml,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,34.6.xml,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,36.6.xml,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,37.6.xml,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0
2015.0,38.6.xml,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0
2015.0,39.6.xml,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0
2015.0,4.7.xml,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
