Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2016_EML,10,11,1.00,110.00%
Abstract,2016_EML,10,10,1.00,100.00%
Attribute Definition,2016_EML,188,10,18.80,100.00%
Attribute List,2016_EML,13,9,1.30,90.00%
Author,2016_EML,21,10,2.10,100.00%
Author / Originator,2016_EML,21,10,2.10,100.00%
Bounding Box,2016_EML,73,10,7.30,100.00%
Contributor Name,2016_EML,13,9,1.30,90.00%
Contributor Role,2016_EML,9,9,0.90,90.00%
Distribution Format,2016_EML,10,10,1.00,100.00%
Easternmost Longitude,2016_EML,72,10,7.20,100.00%
End Time,2016_EML,10,10,1.00,100.00%
Entity Type Definition,2016_EML,14,10,1.40,100.00%
Entity and Attribute Information,2016_EML,14,10,1.40,100.00%
Instrument,2016_EML,1,1,0.10,10.00%
Keyword,2016_EML,120,10,12.00,100.00%
Keyword Type,2016_EML,20,10,2.00,100.00%
Keyword Vocabulary,2016_EML,17,10,1.70,100.00%
Metadata Access Constraints,2016_EML,10,10,1.00,100.00%
Metadata Contact,2016_EML,10,10,1.00,100.00%
Metadata Use Constraints,2016_EML,10,10,1.00,100.00%
Northernmost Latitude,2016_EML,73,10,7.30,100.00%
Organization Name,2016_EML,55,10,5.50,100.00%
Originating Organization,2016_EML,19,10,1.90,100.00%
Place Keyword,2016_EML,27,10,2.70,100.00%
Process Step,2016_EML,10,10,1.00,100.00%
Publication Date,2016_EML,10,10,1.00,100.00%
Publisher,2016_EML,10,10,1.00,100.00%
Resource Access Constraints,2016_EML,10,10,1.00,100.00%
Resource Contact,2016_EML,20,10,2.00,100.00%
Resource Creation/Revision Date,2016_EML,10,10,1.00,100.00%
Resource Distribution,2016_EML,9,9,0.90,90.00%
Resource Format,2016_EML,10,10,1.00,100.00%
Resource Identifier,2016_EML,10,10,1.00,100.00%
Resource Identifier Type,2016_EML,10,10,1.00,100.00%
Resource Lineage,2016_EML,10,10,1.00,100.00%
Resource Long Name,2016_EML,10,10,1.00,100.00%
Resource Status,2016_EML,10,10,1.00,100.00%
Resource Title,2016_EML,10,10,1.00,100.00%
Resource Use Constraints,2016_EML,10,10,1.00,100.00%
Resource on-line Link,2016_EML,10,10,1.00,100.00%
Rights,2016_EML,10,10,1.00,100.00%
Security Constraints,2016_EML,10,10,1.00,100.00%
Southernmost Latitude,2016_EML,73,10,7.30,100.00%
Spatial Extent,2016_EML,75,10,7.50,100.00%
Start Time,2016_EML,10,10,1.00,100.00%
Temporal Extent,2016_EML,10,10,1.00,100.00%
Unknown,2016_EML,2587,11,258.70,110.00%
Vertical Maximum,2016_EML,51,5,5.10,50.00%
Vertical Minimum,2016_EML,51,5,5.10,50.00%
Vertical Resolution,2016_EML,5,5,0.50,50.00%
Westernmost Longitude,2016_EML,72,10,7.20,100.00%
