XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,9,9,1.00,100.00%
/eml:eml/@packageId,2017_EML,9,9,1.00,100.00%
/eml:eml/@scope,2017_EML,9,9,1.00,100.00%
/eml:eml/@system,2017_EML,9,9,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2017_EML,9,9,1.00,100.00%
/eml:eml/access,2017_EML,45,9,5.00,100.00%
/eml:eml/access/@authSystem,2017_EML,9,9,1.00,100.00%
/eml:eml/access/@order,2017_EML,9,9,1.00,100.00%
/eml:eml/access/@scope,2017_EML,9,9,1.00,100.00%
/eml:eml/access/@system,2017_EML,9,9,1.00,100.00%
/eml:eml/access/allow/permission,2017_EML,18,9,2.00,100.00%
/eml:eml/access/allow/principal,2017_EML,18,9,2.00,100.00%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@abbreviation,2017_EML,1,1,0.11,11.11%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@id,2017_EML,3,3,0.33,33.33%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@name,2017_EML,3,3,0.33,33.33%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@parentSI,2017_EML,2,2,0.22,22.22%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@unitType,2017_EML,2,2,0.22,22.22%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/stmml:description,2017_EML,3,3,0.33,33.33%
/eml:eml/dataset/@scope,2017_EML,8,8,0.89,88.89%
/eml:eml/dataset/abstract,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/abstract/para,2017_EML,11,9,1.22,100.00%
/eml:eml/dataset/alternateIdentifier,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/alternateIdentifier/@system,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/associatedParty,2017_EML,7,4,0.78,44.44%
/eml:eml/dataset/associatedParty/address/administrativeArea,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/address/city,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/address/country,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/address/postalCode,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/individualName/givenName,2017_EML,7,4,0.78,44.44%
/eml:eml/dataset/associatedParty/individualName/surName,2017_EML,7,4,0.78,44.44%
/eml:eml/dataset/associatedParty/organizationName,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/phone,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/phone/@phonetype,2017_EML,2,2,0.22,22.22%
/eml:eml/dataset/associatedParty/role,2017_EML,4,4,0.44,44.44%
/eml:eml/dataset/contact,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/address/city,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/address/country,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/onlineUrl,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/phone,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/contact/positionName,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/coverage/temporalCoverage,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/creator,2017_EML,46,9,5.11,100.00%
/eml:eml/dataset/creator/address/administrativeArea,2017_EML,19,9,2.11,100.00%
/eml:eml/dataset/creator/address/city,2017_EML,22,9,2.44,100.00%
/eml:eml/dataset/creator/address/country,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/creator/address/deliveryPoint,2017_EML,33,9,3.67,100.00%
/eml:eml/dataset/creator/address/postalCode,2017_EML,17,9,1.89,100.00%
/eml:eml/dataset/creator/individualName/givenName,2017_EML,23,9,2.56,100.00%
/eml:eml/dataset/creator/individualName/surName,2017_EML,23,9,2.56,100.00%
/eml:eml/dataset/creator/organizationName,2017_EML,44,9,4.89,100.00%
/eml:eml/dataset/creator/phone,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/creator/phone/@phonetype,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/additionalInfo/section/para,2017_EML,11,9,1.22,100.00%
/eml:eml/dataset/dataTable/attributeList,2017_EML,10,9,1.11,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,2017_EML,94,9,10.44,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,2017_EML,94,9,10.44,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,2017_EML,11,9,1.22,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,2017_EML,67,7,7.44,77.78%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,2017_EML,67,7,7.44,77.78%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2017_EML,6,6,0.67,66.67%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,2017_EML,3,3,0.33,33.33%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,2017_EML,5,3,0.56,33.33%
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,2017_EML,7,6,0.78,66.67%
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,2017_EML,6,6,0.67,66.67%
/eml:eml/dataset/dataTable/entityDescription,2017_EML,52,9,5.78,100.00%
/eml:eml/dataset/dataTable/entityName,2017_EML,26,9,2.89,100.00%
/eml:eml/dataset/dataTable/physical/characterEncoding,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/@order,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/@scope,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/@system,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/online/url,2017_EML,26,9,2.89,100.00%
/eml:eml/dataset/dataTable/physical/objectName,2017_EML,26,9,2.89,100.00%
/eml:eml/dataset/distribution,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/distribution/online/url,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/intellectualRights,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/intellectualRights/section/para/itemizedlist/listitem/para,2017_EML,99,9,11.00,100.00%
/eml:eml/dataset/intellectualRights/section/title,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/keywordSet/keyword,2017_EML,127,9,14.11,100.00%
/eml:eml/dataset/keywordSet/keyword/@keywordType,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/keywordSet/keywordThesaurus,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/metadataProvider,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/address/administrativeArea,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/address/city,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/address/country,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/address/deliveryPoint,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/address/postalCode,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/onlineUrl,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/organizationName,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/phone,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/metadataProvider/phone/@phonetype,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/methods,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/methods/methodStep/citation/article/issue,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/methods/methodStep/citation/article/journal,2017_EML,2,1,0.22,11.11%
/eml:eml/dataset/methods/methodStep/citation/article/pageRange,2017_EML,2,1,0.22,11.11%
/eml:eml/dataset/methods/methodStep/citation/article/volume,2017_EML,2,1,0.22,11.11%
/eml:eml/dataset/methods/methodStep/citation/book/publisher/organizationName,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/methods/methodStep/citation/book/totalPages,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/methods/methodStep/citation/creator/@id,2017_EML,16,1,1.78,11.11%
/eml:eml/dataset/methods/methodStep/citation/creator/individualName/givenName,2017_EML,51,9,5.67,100.00%
/eml:eml/dataset/methods/methodStep/citation/creator/individualName/surName,2017_EML,58,9,6.44,100.00%
/eml:eml/dataset/methods/methodStep/citation/creator/references,2017_EML,6,1,0.67,11.11%
/eml:eml/dataset/methods/methodStep/citation/language,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/methods/methodStep/citation/pubDate,2017_EML,6,1,0.67,11.11%
/eml:eml/dataset/methods/methodStep/citation/report/publicationPlace,2017_EML,1,1,0.11,11.11%
/eml:eml/dataset/methods/methodStep/citation/report/publisher/organizationName,2017_EML,8,8,0.89,88.89%
/eml:eml/dataset/methods/methodStep/citation/report/reportNumber,2017_EML,3,1,0.33,11.11%
/eml:eml/dataset/methods/methodStep/citation/report/totalPages,2017_EML,3,1,0.33,11.11%
/eml:eml/dataset/methods/methodStep/citation/title,2017_EML,14,9,1.56,100.00%
/eml:eml/dataset/methods/methodStep/description/section/para,2017_EML,28,9,3.11,100.00%
/eml:eml/dataset/methods/methodStep/description/section/title,2017_EML,26,9,2.89,100.00%
/eml:eml/dataset/pubDate,2017_EML,18,9,2.00,100.00%
/eml:eml/dataset/pubPlace,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/address/administrativeArea,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/address/city,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/address/country,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/address/deliveryPoint,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/address/postalCode,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/onlineUrl,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/organizationName,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/phone,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/publisher/phone/@phonetype,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/shortName,2017_EML,9,9,1.00,100.00%
/eml:eml/dataset/title,2017_EML,18,9,2.00,100.00%
