Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2009_EML,238,238,1.00,100.00%
Abstract,2009_EML,201,201,0.84,84.45%
Attribute Definition,2009_EML,10917,194,45.87,81.51%
Attribute List,2009_EML,1061,194,4.46,81.51%
Author,2009_EML,394,201,1.66,84.45%
Author / Originator,2009_EML,394,201,1.66,84.45%
Bounding Box,2009_EML,201,201,0.84,84.45%
Contributor Name,2009_EML,411,141,1.73,59.24%
Contributor Role,2009_EML,141,141,0.59,59.24%
Distribution Format,2009_EML,229,194,0.96,81.51%
Easternmost Longitude,2009_EML,201,201,0.84,84.45%
End Time,2009_EML,201,201,0.84,84.45%
Entity Type Definition,2009_EML,1060,194,4.45,81.51%
Entity and Attribute Information,2009_EML,1060,194,4.45,81.51%
Keyword,2009_EML,1825,201,7.67,84.45%
Keyword Vocabulary,2009_EML,498,166,2.09,69.75%
Maintenance,2009_EML,90,90,0.38,37.82%
Metadata Access Constraints,2009_EML,201,201,0.84,84.45%
Metadata Use Constraints,2009_EML,201,201,0.84,84.45%
Northernmost Latitude,2009_EML,201,201,0.84,84.45%
Organization Name,2009_EML,402,201,1.69,84.45%
Process Step,2009_EML,201,201,0.84,84.45%
Publication Date,2009_EML,201,201,0.84,84.45%
Publisher,2009_EML,201,201,0.84,84.45%
Resource Access Constraints,2009_EML,201,201,0.84,84.45%
Resource Contact,2009_EML,201,201,0.84,84.45%
Resource Creation/Revision Date,2009_EML,201,201,0.84,84.45%
Resource Distribution,2009_EML,201,201,0.84,84.45%
Resource Format,2009_EML,229,194,0.96,81.51%
Resource Identifier,2009_EML,201,201,0.84,84.45%
Resource Identifier Type,2009_EML,201,201,0.84,84.45%
Resource Lineage,2009_EML,201,201,0.84,84.45%
Resource Long Name,2009_EML,201,201,0.84,84.45%
Resource Status,2009_EML,201,201,0.84,84.45%
Resource Title,2009_EML,201,201,0.84,84.45%
Resource Use Constraints,2009_EML,199,199,0.84,83.61%
Resource on-line Link,2009_EML,201,201,0.84,84.45%
Rights,2009_EML,199,199,0.84,83.61%
Security Constraints,2009_EML,201,201,0.84,84.45%
Southernmost Latitude,2009_EML,201,201,0.84,84.45%
Spatial Extent,2009_EML,201,201,0.84,84.45%
Start Time,2009_EML,201,201,0.84,84.45%
Taxonomic Extent,2009_EML,126,111,0.53,46.64%
Temporal Extent,2009_EML,201,201,0.84,84.45%
Unknown,2009_EML,68523,238,287.91,100.00%
Vertical Maximum,2009_EML,186,186,0.78,78.15%
Vertical Minimum,2009_EML,186,186,0.78,78.15%
Vertical Resolution,2009_EML,186,186,0.78,78.15%
Westernmost Longitude,2009_EML,201,201,0.84,84.45%
