XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2011_EML,84,84,1.00,100.00%
/eml:eml/@packageId,2011_EML,83,83,0.99,98.81%
/eml:eml/@scope,2011_EML,79,79,0.94,94.05%
/eml:eml/@system,2011_EML,83,83,0.99,98.81%
/eml:eml/@xsi:schemaLocation,2011_EML,83,83,0.99,98.81%
/eml:eml/access,2011_EML,415,83,4.94,98.81%
/eml:eml/access/@authSystem,2011_EML,83,83,0.99,98.81%
/eml:eml/access/@order,2011_EML,83,83,0.99,98.81%
/eml:eml/access/@scope,2011_EML,83,83,0.99,98.81%
/eml:eml/access/allow/permission,2011_EML,166,83,1.98,98.81%
/eml:eml/access/allow/principal,2011_EML,166,83,1.98,98.81%
/eml:eml/additionalMetadata/metadata/additionalClassifications/lterCoreArea,2011_EML,9,8,0.11,9.52%
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchTopic,2011_EML,143,83,1.70,98.81%
/eml:eml/additionalMetadata/metadata/additionalClassifications/status,2011_EML,83,83,0.99,98.81%
/eml:eml/additionalMetadata/metadata/additionalClassifications/studyType,2011_EML,93,83,1.11,98.81%
/eml:eml/additionalMetadata/metadata/additionalLinks/url,2011_EML,137,49,1.63,58.33%
/eml:eml/additionalMetadata/metadata/additionalLinks/url/@name,2011_EML,137,49,1.63,58.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,2011_EML,31,31,0.37,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2011_EML,31,31,0.37,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2011_EML,47,31,0.56,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2011_EML,33,31,0.39,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2011_EML,47,31,0.56,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2011_EML,47,31,0.56,36.90%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2011_EML,47,31,0.56,36.90%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2011_EML,16,8,0.19,9.52%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2011_EML,8,8,0.10,9.52%
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,2011_EML,16,8,0.19,9.52%
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,2011_EML,16,8,0.19,9.52%
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,2011_EML,16,8,0.19,9.52%
/eml:eml/additionalMetadata/metadata/unitList/unit/description,2011_EML,8,4,0.10,4.76%
/eml:eml/additionalMetadata/metadata/unitList/unitType/@id,2011_EML,4,4,0.05,4.76%
/eml:eml/additionalMetadata/metadata/unitList/unitType/@name,2011_EML,4,4,0.05,4.76%
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@name,2011_EML,8,4,0.10,4.76%
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@power,2011_EML,4,4,0.05,4.76%
/eml:eml/dataset/@id,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/@scope,2011_EML,4,4,0.05,4.76%
/eml:eml/dataset/abstract,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/abstract/section/para,2011_EML,149,83,1.77,98.81%
/eml:eml/dataset/abstract/section/title,2011_EML,30,6,0.36,7.14%
/eml:eml/dataset/alternateIdentifier,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/associatedParty,2011_EML,91,46,1.08,54.76%
/eml:eml/dataset/associatedParty/@scope,2011_EML,2,2,0.02,2.38%
/eml:eml/dataset/associatedParty/individualName/givenName,2011_EML,91,46,1.08,54.76%
/eml:eml/dataset/associatedParty/individualName/surName,2011_EML,91,46,1.08,54.76%
/eml:eml/dataset/associatedParty/role,2011_EML,46,46,0.55,54.76%
/eml:eml/dataset/contact,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/@scope,2011_EML,4,4,0.05,4.76%
/eml:eml/dataset/contact/address/@scope,2011_EML,4,4,0.05,4.76%
/eml:eml/dataset/contact/address/administrativeArea,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/address/city,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/address/country,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/address/deliveryPoint,2011_EML,131,83,1.56,98.81%
/eml:eml/dataset/contact/address/postalCode,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/electronicMailAddress,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/individualName/givenName,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/individualName/surName,2011_EML,83,83,0.99,98.81%
/eml:eml/dataset/contact/organizationName,2011_EML,79,79,0.94,94.05%
/eml:eml/dataset/contact/phone,2011_EML,74,74,0.88,88.10%
