XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,HFR_2011_EML,83,83,83,83.0
/eml:eml/@packageId,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/@scope,HFR_2011_EML,79,79,0.95,0.9518072289156626
/eml:eml/@system,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/@xsi:schemaLocation,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/access/@authSystem,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/access/@order,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/access/@scope,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/access/allow/permission,HFR_2011_EML,166,83,2.00,1.0
/eml:eml/access/allow/principal,HFR_2011_EML,166,83,2.00,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/lterCoreArea,HFR_2011_EML,9,8,0.11,0.0963855421686747
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchTopic,HFR_2011_EML,143,83,1.72,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/status,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/studyType,HFR_2011_EML,93,83,1.12,1.0
/eml:eml/additionalMetadata/metadata/additionalLinks/url,HFR_2011_EML,137,49,1.65,0.5903614457831325
/eml:eml/additionalMetadata/metadata/additionalLinks/url/@name,HFR_2011_EML,137,49,1.65,0.5903614457831325
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,HFR_2011_EML,31,31,0.37,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,HFR_2011_EML,47,31,0.57,0.37349397590361444
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,HFR_2011_EML,16,8,0.19,0.0963855421686747
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,HFR_2011_EML,16,8,0.19,0.0963855421686747
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,HFR_2011_EML,16,8,0.19,0.0963855421686747
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,HFR_2011_EML,16,8,0.19,0.0963855421686747
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,HFR_2011_EML,16,8,0.19,0.0963855421686747
/eml:eml/additionalMetadata/metadata/unitList/unit/description,HFR_2011_EML,8,4,0.10,0.04819277108433735
/eml:eml/additionalMetadata/metadata/unitList/unitType/@id,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/additionalMetadata/metadata/unitList/unitType/@name,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@name,HFR_2011_EML,12,4,0.14,0.04819277108433735
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@power,HFR_2011_EML,8,4,0.10,0.04819277108433735
/eml:eml/dataset/@id,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/abstract/section/para,HFR_2011_EML,149,83,1.80,1.0
/eml:eml/dataset/abstract/section/title,HFR_2011_EML,30,6,0.36,0.07228915662650602
/eml:eml/dataset/alternateIdentifier,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/associatedParty/@scope,HFR_2011_EML,2,2,0.02,0.024096385542168676
/eml:eml/dataset/associatedParty/individualName/givenName,HFR_2011_EML,91,46,1.10,0.5542168674698795
/eml:eml/dataset/associatedParty/individualName/surName,HFR_2011_EML,91,46,1.10,0.5542168674698795
/eml:eml/dataset/associatedParty/role,HFR_2011_EML,91,46,1.10,0.5542168674698795
/eml:eml/dataset/contact/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/contact/address/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/contact/address/administrativeArea,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/address/city,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/address/country,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,HFR_2011_EML,131,83,1.58,1.0
/eml:eml/dataset/contact/address/postalCode,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/individualName/givenName,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/individualName/surName,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/contact/organizationName,HFR_2011_EML,79,79,0.95,0.9518072289156626
/eml:eml/dataset/contact/phone,HFR_2011_EML,74,74,0.89,0.891566265060241
/eml:eml/dataset/contact/phone/@phonetype,HFR_2011_EML,78,78,0.94,0.9397590361445783
/eml:eml/dataset/coverage/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/coverage/geographicCoverage/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,HFR_2011_EML,75,75,0.90,0.9036144578313253
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,HFR_2011_EML,75,75,0.90,0.9036144578313253
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,HFR_2011_EML,75,75,0.90,0.9036144578313253
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,HFR_2011_EML,3,3,0.04,0.03614457831325301
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/commonName,HFR_2011_EML,6,2,0.07,0.024096385542168676
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,HFR_2011_EML,238,58,2.87,0.6987951807228916
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,HFR_2011_EML,238,58,2.87,0.6987951807228916
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/commonName,HFR_2011_EML,174,48,2.10,0.5783132530120482
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,HFR_2011_EML,232,58,2.80,0.6987951807228916
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,HFR_2011_EML,232,58,2.80,0.6987951807228916
/eml:eml/dataset/coverage/temporalCoverage/@scope,HFR_2011_EML,4,4,0.05,0.04819277108433735
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,HFR_2011_EML,83,83,1.00,1.0
/eml:eml/dataset/creator/@scope,HFR_2011_EML,7,4,0.08,0.04819277108433735
/eml:eml/dataset/creator/individualName/givenName,HFR_2011_EML,177,83,2.13,1.0
/eml:eml/dataset/creator/individualName/surName,HFR_2011_EML,177,83,2.13,1.0
/eml:eml/dataset/dataTable/@id,HFR_2011_EML,217,81,2.61,0.9759036144578314
/eml:eml/dataset/dataTable/@scope,HFR_2011_EML,7,4,0.08,0.04819277108433735
/eml:eml/dataset/dataTable/attributeList/attribute/@id,HFR_2011_EML,1577,81,19.00,0.9759036144578314
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,HFR_2011_EML,53,4,0.64,0.04819277108433735
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,HFR_2011_EML,1577,81,19.00,0.9759036144578314
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,HFR_2011_EML,1577,81,19.00,0.9759036144578314
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,HFR_2011_EML,6,6,0.07,0.07228915662650602
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,HFR_2011_EML,115,39,1.39,0.46987951807228917
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,HFR_2011_EML,55,12,0.66,0.14457831325301204
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,HFR_2011_EML,55,12,0.66,0.14457831325301204
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,HFR_2011_EML,55,12,0.66,0.14457831325301204
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,HFR_2011_EML,8,2,0.10,0.024096385542168676
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,HFR_2011_EML,1117,47,13.46,0.5662650602409639
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,HFR_2011_EML,1117,47,13.46,0.5662650602409639
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,HFR_2011_EML,291,76,3.51,0.9156626506024096
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/pattern,HFR_2011_EML,3,3,0.04,0.03614457831325301
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,HFR_2011_EML,40,5,0.48,0.060240963855421686
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,HFR_2011_EML,40,5,0.48,0.060240963855421686
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,HFR_2011_EML,88,10,1.06,0.12048192771084337
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,HFR_2011_EML,667,75,8.04,0.9036144578313253
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,HFR_2011_EML,654,75,7.88,0.9036144578313253
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,HFR_2011_EML,157,39,1.89,0.46987951807228917
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,HFR_2011_EML,510,69,6.14,0.8313253012048193
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,HFR_2011_EML,646,67,7.78,0.8072289156626506
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,HFR_2011_EML,646,67,7.78,0.8072289156626506
/eml:eml/dataset/dataTable/entityDescription,HFR_2011_EML,217,81,2.61,0.9759036144578314
/eml:eml/dataset/dataTable/entityName,HFR_2011_EML,217,81,2.61,0.9759036144578314
/eml:eml/dataset/dataTable/numberOfRecords,HFR_2011_EML,111,49,1.34,0.5903614457831325
/eml:eml/dataset/dataTable/physical/@id,HFR_2011_EML,175,75,2.11,0.9036144578313253
/eml:eml/dataset/dataTable/physical/@scope,HFR_2011_EML,7,4,0.08,0.04819277108433735
/eml:eml/dataset/dataTable/physical/dataFormat/externallyDefinedFormat/formatName,HFR_2011_EML,42,15,0.51,0.18072289156626506
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,HFR_2011_EML,175,75,2.11,0.9036144578313253
