Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,HFR_2014_EML,5.0,5.0,1.0,1.0
Resource Identifier,HFR_2014_EML,5.0,5.0,1.0,1.0
Resource Title,HFR_2014_EML,5.0,5.0,1.0,1.0
Author / Originator,HFR_2014_EML,11.0,5.0,2.2,1.0
Metadata Contact,HFR_2014_EML,0.0,0.0,0.0,0.0
Contributor Name,HFR_2014_EML,22.0,1.0,4.4,0.2
Publisher,HFR_2014_EML,5.0,5.0,1.0,1.0
Publication Date,HFR_2014_EML,5.0,5.0,1.0,1.0
Resource Contact,HFR_2014_EML,5.0,5.0,1.0,1.0
Abstract,HFR_2014_EML,5.0,5.0,1.0,1.0
Keyword,HFR_2014_EML,46.0,5.0,9.2,1.0
Resource Distribution,HFR_2014_EML,5.0,5.0,1.0,1.0
Spatial Extent,HFR_2014_EML,5.0,5.0,1.0,1.0
Taxonomic Extent,HFR_2014_EML,2.0,2.0,0.4,0.4
Temporal Extent,HFR_2014_EML,5.0,5.0,1.0,1.0
Maintenance,HFR_2014_EML,1.0,1.0,0.2,0.2
Resource Use Constraints,HFR_2014_EML,5.0,5.0,1.0,1.0
Process Step,HFR_2014_EML,5.0,5.0,1.0,1.0
Project Description,HFR_2014_EML,0.0,0.0,0.0,0.0
Entity Type Definition,HFR_2014_EML,8.0,5.0,1.6,1.0
Attribute Definition,HFR_2014_EML,84.0,5.0,16.8,1.0
Resource Access Constraints,HFR_2014_EML,5.0,5.0,1.0,1.0
Resource Format,HFR_2014_EML,8.0,5.0,1.6,1.0
Attribute List,HFR_2014_EML,8.0,5.0,1.6,1.0
Attribute Constraints,HFR_2014_EML,0.0,0.0,0.0,0.0
Resource Quality Description,HFR_2014_EML,0.0,0.0,0.0,0.0
