Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2017.0,103.29.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,92.0,1.0,4.0,4.0,0.0,0.0
2017.0,103.31.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,93.0,1.0,4.0,4.0,0.0,0.0
2017.0,105.21.xml,1.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,206.0,1.0,7.0,7.0,0.0,0.0
2017.0,110.16.xml,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017.0,113.55.xml,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,40.0,734.0,1.0,40.0,40.0,0.0,0.0
2017.0,113.56.xml,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,40.0,734.0,1.0,40.0,40.0,0.0,0.0
2017.0,118.28.xml,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,29.0,1.0,2.0,2.0,0.0,0.0
2017.0,118.29.xml,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,30.0,1.0,2.0,2.0,0.0,0.0
2017.0,150.17.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,18.0,1.0,2.0,2.0,0.0,0.0
2017.0,151.16.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,16.0,1.0,2.0,2.0,0.0,0.0
2017.0,161.13.xml,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0
2017.0,172.6.xml,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0
2017.0,174.9.xml,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,72.0,1.0,13.0,13.0,0.0,0.0
2017.0,175.9.xml,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,35.0,1.0,3.0,3.0,0.0,0.0
