Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,19,19,1.00,100.00%
Author,2012_EML,1,1,0.05,5.26%
Author / Originator,2012_EML,1,1,0.05,5.26%
Author / Originator World Wide Web Address,2012_EML,1,1,0.05,5.26%
Bounding Box,2012_EML,1,1,0.05,5.26%
Easternmost Longitude,2012_EML,1,1,0.05,5.26%
End Time,2012_EML,1,1,0.05,5.26%
Maintenance,2012_EML,1,1,0.05,5.26%
Metadata Access Constraints,2012_EML,1,1,0.05,5.26%
Metadata Use Constraints,2012_EML,1,1,0.05,5.26%
Northernmost Latitude,2012_EML,1,1,0.05,5.26%
Organization Name,2012_EML,1,1,0.05,5.26%
Project Description,2012_EML,1,1,0.05,5.26%
Project Name,2012_EML,1,1,0.05,5.26%
Related Resource Citation,2012_EML,1,1,0.05,5.26%
Resource Access Constraints,2012_EML,1,1,0.05,5.26%
Resource Contact,2012_EML,1,1,0.05,5.26%
Resource Identifier,2012_EML,1,1,0.05,5.26%
Resource Identifier Type,2012_EML,1,1,0.05,5.26%
Resource Language,2012_EML,1,1,0.05,5.26%
Resource Long Name,2012_EML,1,1,0.05,5.26%
Resource Quality Description,2012_EML,18,18,0.95,94.74%
Resource Status,2012_EML,1,1,0.05,5.26%
Resource Title,2012_EML,1,1,0.05,5.26%
Resource Use Constraints,2012_EML,1,1,0.05,5.26%
Rights,2012_EML,1,1,0.05,5.26%
Security Constraints,2012_EML,1,1,0.05,5.26%
Southernmost Latitude,2012_EML,1,1,0.05,5.26%
Spatial Extent,2012_EML,1,1,0.05,5.26%
Start Time,2012_EML,1,1,0.05,5.26%
Temporal Extent,2012_EML,1,1,0.05,5.26%
Unknown,2012_EML,3369,19,177.32,100.00%
Westernmost Longitude,2012_EML,1,1,0.05,5.26%
