XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,JRN_2013_EML,53,53,53,53.0
/eml:eml/@packageId,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/@system,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/@xsi:schemaLocation,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/access/@authSystem,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/access/@order,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/access/@scope,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/access/allow/permission,JRN_2013_EML,106,53,2.00,1.0
/eml:eml/access/allow/principal,JRN_2013_EML,106,53,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,JRN_2013_EML,39,39,0.74,0.7358490566037735
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,JRN_2013_EML,9,9,0.17,0.16981132075471697
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,JRN_2013_EML,88,39,1.66,0.7358490566037735
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,JRN_2013_EML,9,9,0.17,0.16981132075471697
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,JRN_2013_EML,9,9,0.17,0.16981132075471697
/eml:eml/dataset/abstract/section/para,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/additionalInfo/para/literalLayout,JRN_2013_EML,51,51,0.96,0.9622641509433962
/eml:eml/dataset/contact/address/administrativeArea,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/address/city,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/address/country,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/address/postalCode,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/individualName/givenName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/individualName/surName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/contact/organizationName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,JRN_2013_EML,48,48,0.91,0.9056603773584906
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,JRN_2013_EML,48,48,0.91,0.9056603773584906
/eml:eml/dataset/creator/address/administrativeArea,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/address/city,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/address/country,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/address/deliveryPoint,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/address/postalCode,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/electronicMailAddress,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/individualName/givenName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/individualName/surName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/organizationName,JRN_2013_EML,53,53,1.00,1.0
/eml:eml/dataset/creator/phone,JRN_2013_EML,4,4,0.08,0.07547169811320754
/eml:eml/dataset/creator/phone/@phonetype,JRN_2013_EML,4,4,0.08,0.07547169811320754
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,JRN_2013_EML,454,46,8.57,0.8679245283018868
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,JRN_2013_EML,454,46,8.57,0.8679245283018868
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,JRN_2013_EML,454,46,8.57,0.8679245283018868
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,JRN_2013_EML,40,34,0.75,0.6415094339622641
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,JRN_2013_EML,296,34,5.58,0.6415094339622641
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,JRN_2013_EML,296,34,5.58,0.6415094339622641
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,JRN_2013_EML,61,32,1.15,0.6037735849056604
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,JRN_2013_EML,27,20,0.51,0.37735849056603776
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,JRN_2013_EML,27,20,0.51,0.37735849056603776
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,JRN_2013_EML,30,21,0.57,0.39622641509433965
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,JRN_2013_EML,30,21,0.57,0.39622641509433965
