Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2015.0,2100001002.54.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100002001.64.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100007001.13.xml,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100007001.9.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0
2015.0,2100010001.52.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,1.0
2015.0,210001001.40.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0
2015.0,210001001.41.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0
2015.0,210001003.55.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100011001.49.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0
2015.0,2100011003.37.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100011004.53.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100011004.58.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100011005.46.xml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100086001.40.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100086002.39.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100086003.44.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,18.0,1.0,1.0,1.0,0.0,1.0
2015.0,2100086004.52.xml,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,18.0,1.0,1.0,1.0,0.0,1.0
