Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,JRN_2015_EML,74.0,74.0,1.0,1.0
Resource Identifier,JRN_2015_EML,74.0,74.0,1.0,1.0
Resource Title,JRN_2015_EML,74.0,74.0,1.0,1.0
Author / Originator,JRN_2015_EML,113.0,74.0,1.53,1.0
Metadata Contact,JRN_2015_EML,73.0,73.0,0.99,0.9864864864864864
Contributor Name,JRN_2015_EML,58.0,58.0,0.78,0.7837837837837838
Publisher,JRN_2015_EML,74.0,74.0,1.0,1.0
Publication Date,JRN_2015_EML,74.0,74.0,1.0,1.0
Resource Contact,JRN_2015_EML,148.0,74.0,2.0,1.0
Abstract,JRN_2015_EML,74.0,74.0,1.0,1.0
Keyword,JRN_2015_EML,597.0,73.0,8.07,0.9864864864864864
Resource Distribution,JRN_2015_EML,74.0,74.0,1.0,1.0
Spatial Extent,JRN_2015_EML,1.0,1.0,0.01,0.013513513513513514
Taxonomic Extent,JRN_2015_EML,0.0,0.0,0.0,0.0
Temporal Extent,JRN_2015_EML,21.0,21.0,0.28,0.28378378378378377
Maintenance,JRN_2015_EML,71.0,71.0,0.96,0.9594594594594594
Resource Use Constraints,JRN_2015_EML,74.0,74.0,1.0,1.0
Process Step,JRN_2015_EML,71.0,71.0,0.96,0.9594594594594594
Project Description,JRN_2015_EML,0.0,0.0,0.0,0.0
Entity Type Definition,JRN_2015_EML,73.0,73.0,0.99,0.9864864864864864
Attribute Definition,JRN_2015_EML,861.0,74.0,11.64,1.0
Resource Access Constraints,JRN_2015_EML,74.0,74.0,1.0,1.0
Resource Format,JRN_2015_EML,74.0,74.0,1.0,1.0
Attribute List,JRN_2015_EML,74.0,74.0,1.0,1.0
Attribute Constraints,JRN_2015_EML,0.0,0.0,0.0,0.0
Resource Quality Description,JRN_2015_EML,70.0,70.0,0.95,0.945945945945946
