Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,KBS_2011_EML,14.0,14.0,1.0,1.0
Resource Identifier,KBS_2011_EML,14.0,14.0,1.0,1.0
Resource Title,KBS_2011_EML,14.0,14.0,1.0,1.0
Author / Originator,KBS_2011_EML,14.0,14.0,1.0,1.0
Metadata Contact,KBS_2011_EML,0.0,0.0,0.0,0.0
Contributor Name,KBS_2011_EML,15.0,13.0,1.07,0.9285714285714286
Publisher,KBS_2011_EML,8.0,8.0,0.57,0.5714285714285714
Publication Date,KBS_2011_EML,8.0,8.0,0.57,0.5714285714285714
Resource Contact,KBS_2011_EML,14.0,14.0,1.0,1.0
Abstract,KBS_2011_EML,14.0,14.0,1.0,1.0
Keyword,KBS_2011_EML,134.0,14.0,9.57,1.0
Resource Distribution,KBS_2011_EML,0.0,0.0,0.0,0.0
Spatial Extent,KBS_2011_EML,5.0,5.0,0.36,0.35714285714285715
Taxonomic Extent,KBS_2011_EML,0.0,0.0,0.0,0.0
Temporal Extent,KBS_2011_EML,3.0,3.0,0.21,0.21428571428571427
Maintenance,KBS_2011_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,KBS_2011_EML,4.0,4.0,0.29,0.2857142857142857
Process Step,KBS_2011_EML,1.0,1.0,0.07,0.07142857142857142
Project Description,KBS_2011_EML,0.0,0.0,0.0,0.0
Entity Type Definition,KBS_2011_EML,17.0,13.0,1.21,0.9285714285714286
Attribute Definition,KBS_2011_EML,72.0,13.0,5.14,0.9285714285714286
Resource Access Constraints,KBS_2011_EML,14.0,14.0,1.0,1.0
Resource Format,KBS_2011_EML,17.0,13.0,1.21,0.9285714285714286
Attribute List,KBS_2011_EML,17.0,13.0,1.21,0.9285714285714286
Attribute Constraints,KBS_2011_EML,0.0,0.0,0.0,0.0
Resource Quality Description,KBS_2011_EML,0.0,0.0,0.0,0.0
