Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,3,3,1.00,100.00%
Abstract,2012_EML,2,2,0.67,66.67%
Attribute Definition,2012_EML,27,2,9.00,66.67%
Attribute List,2012_EML,2,2,0.67,66.67%
Author,2012_EML,4,3,1.33,100.00%
Author / Originator,2012_EML,4,3,1.33,100.00%
Author / Originator World Wide Web Address,2012_EML,3,2,1.00,66.67%
Bounding Box,2012_EML,3,3,1.00,100.00%
Contributor Name,2012_EML,8,2,2.67,66.67%
Contributor Role,2012_EML,5,2,1.67,66.67%
Distribution Format,2012_EML,2,2,0.67,66.67%
Easternmost Longitude,2012_EML,3,3,1.00,100.00%
End Time,2012_EML,1,1,0.33,33.33%
Entity Type Definition,2012_EML,2,2,0.67,66.67%
Entity and Attribute Information,2012_EML,2,2,0.67,66.67%
Keyword,2012_EML,25,3,8.33,100.00%
Keyword Type,2012_EML,3,3,1.00,100.00%
Keyword Vocabulary,2012_EML,1,1,0.33,33.33%
Metadata Access Constraints,2012_EML,3,3,1.00,100.00%
Metadata Use Constraints,2012_EML,3,3,1.00,100.00%
Northernmost Latitude,2012_EML,3,3,1.00,100.00%
Organization Name,2012_EML,13,3,4.33,100.00%
Originating Organization,2012_EML,3,2,1.00,66.67%
Place Keyword,2012_EML,18,3,6.00,100.00%
Process Step,2012_EML,2,2,0.67,66.67%
Project Name,2012_EML,3,2,1.00,66.67%
Publication Date,2012_EML,3,3,1.00,100.00%
Publisher,2012_EML,3,3,1.00,100.00%
Resource Access Constraints,2012_EML,3,3,1.00,100.00%
Resource Contact,2012_EML,3,3,1.00,100.00%
Resource Creation/Revision Date,2012_EML,3,3,1.00,100.00%
Resource Format,2012_EML,2,2,0.67,66.67%
Resource Identifier,2012_EML,3,3,1.00,100.00%
Resource Identifier Type,2012_EML,3,3,1.00,100.00%
Resource Lineage,2012_EML,2,2,0.67,66.67%
Resource Long Name,2012_EML,3,3,1.00,100.00%
Resource Status,2012_EML,3,3,1.00,100.00%
Resource Title,2012_EML,3,3,1.00,100.00%
Resource Use Constraints,2012_EML,1,1,0.33,33.33%
Rights,2012_EML,1,1,0.33,33.33%
Security Constraints,2012_EML,3,3,1.00,100.00%
Southernmost Latitude,2012_EML,3,3,1.00,100.00%
Spatial Extent,2012_EML,3,3,1.00,100.00%
Start Time,2012_EML,1,1,0.33,33.33%
Temporal Extent,2012_EML,1,1,0.33,33.33%
Unknown,2012_EML,237,3,79.00,100.00%
Westernmost Longitude,2012_EML,3,3,1.00,100.00%
