XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,2,2,1.00,100.00%
/eml:eml/@packageId,2017_EML,2,2,1.00,100.00%
/eml:eml/@system,2017_EML,2,2,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2017_EML,2,2,1.00,100.00%
/eml:eml/access,2017_EML,10,2,5.00,100.00%
/eml:eml/access/@authSystem,2017_EML,2,2,1.00,100.00%
/eml:eml/access/@order,2017_EML,2,2,1.00,100.00%
/eml:eml/access/@scope,2017_EML,2,2,1.00,100.00%
/eml:eml/access/@system,2017_EML,2,2,1.00,100.00%
/eml:eml/access/allow/permission,2017_EML,4,2,2.00,100.00%
/eml:eml/access/allow/principal,2017_EML,6,2,3.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2017_EML,2,2,1.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2017_EML,4,2,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/@id,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/abstract,2017_EML,1,1,0.50,50.00%
/eml:eml/dataset/abstract/section/para,2017_EML,2,1,1.00,50.00%
/eml:eml/dataset/abstract/section/title,2017_EML,1,1,0.50,50.00%
/eml:eml/dataset/alternateIdentifier,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/alternateIdentifier/@system,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/address/administrativeArea,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/address/city,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/address/country,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/address/postalCode,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/electronicMailAddress,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/individualName/givenName,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/individualName/surName,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/organizationName,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/phone,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/phone/@phonetype,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/associatedParty/role,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/userId,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/associatedParty/userId/@directory,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/city,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/country,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/onlineUrl,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/organizationName,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/positionName,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/creator,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/creator/positionName,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/@id,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,2017_EML,20,2,10.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,2017_EML,20,2,10.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum/@exclusive,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,2017_EML,10,2,5.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/entityDescription,2017_EML,2,1,1.00,50.00%
/eml:eml/dataset/dataTable/entityName,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/collapseDelimiters,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/literalCharacter,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/distribution/online/url,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/encodingMethod,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/dataTable/physical/objectName,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/intellectualRights,2017_EML,4,2,2.00,100.00%
/eml:eml/dataset/intellectualRights/para,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/keywordSet/keyword,2017_EML,26,2,13.00,100.00%
/eml:eml/dataset/keywordSet/keyword/@keywordType,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/keywordSet/keywordThesaurus,2017_EML,2,2,1.00,100.00%
/eml:eml/dataset/pubDate,2017_EML,4,2,2.00,100.00%
