Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2016.0,1.5.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,44.0,1.0,2.0,2.0,0.0,0.0
2016.0,11.9.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2016.0,12.9.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,32.0,1.0,2.0,2.0,0.0,0.0
2016.0,13.10.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,56.0,1.0,4.0,4.0,0.0,0.0
2016.0,14.8.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,32.0,1.0,2.0,2.0,0.0,0.0
2016.0,14.9.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,32.0,1.0,2.0,2.0,0.0,0.0
2016.0,16.8.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2016.0,17.7.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0
2016.0,18.7.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,43.0,1.0,2.0,2.0,0.0,0.0
2016.0,19.7.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
2016.0,2.8.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,60.0,1.0,3.0,3.0,0.0,0.0
2016.0,20.2.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,51.0,1.0,3.0,3.0,0.0,0.0
2016.0,200.4.xml,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,21.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016.0,201.5.xml,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
