Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,KNZ_2018_EML,5.0,5.0,1.0,1.0
Resource Identifier,KNZ_2018_EML,5.0,5.0,1.0,1.0
Resource Title,KNZ_2018_EML,5.0,5.0,1.0,1.0
Author / Originator,KNZ_2018_EML,5.0,5.0,1.0,1.0
Metadata Contact,KNZ_2018_EML,5.0,5.0,1.0,1.0
Contributor Name,KNZ_2018_EML,0.0,0.0,0.0,0.0
Publisher,KNZ_2018_EML,5.0,5.0,1.0,1.0
Publication Date,KNZ_2018_EML,5.0,5.0,1.0,1.0
Resource Contact,KNZ_2018_EML,5.0,5.0,1.0,1.0
Abstract,KNZ_2018_EML,5.0,5.0,1.0,1.0
Keyword,KNZ_2018_EML,82.0,5.0,16.4,1.0
Resource Distribution,KNZ_2018_EML,5.0,5.0,1.0,1.0
Spatial Extent,KNZ_2018_EML,61.0,5.0,12.2,1.0
Taxonomic Extent,KNZ_2018_EML,0.0,0.0,0.0,0.0
Temporal Extent,KNZ_2018_EML,5.0,5.0,1.0,1.0
Maintenance,KNZ_2018_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,KNZ_2018_EML,5.0,5.0,1.0,1.0
Process Step,KNZ_2018_EML,5.0,5.0,1.0,1.0
Project Description,KNZ_2018_EML,0.0,0.0,0.0,0.0
Entity Type Definition,KNZ_2018_EML,13.0,5.0,2.6,1.0
Attribute Definition,KNZ_2018_EML,220.0,5.0,44.0,1.0
Resource Access Constraints,KNZ_2018_EML,5.0,5.0,1.0,1.0
Resource Format,KNZ_2018_EML,13.0,5.0,2.6,1.0
Attribute List,KNZ_2018_EML,13.0,5.0,2.6,1.0
Attribute Constraints,KNZ_2018_EML,0.0,0.0,0.0,0.0
Resource Quality Description,KNZ_2018_EML,0.0,0.0,0.0,0.0
