Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2007_EML,250,250,1.00,100.00%
Abstract,2007_EML,235,235,0.94,94.00%
Attribute Constraints,2007_EML,63,15,0.25,6.00%
Attribute Definition,2007_EML,5019,225,20.08,90.00%
Attribute List,2007_EML,315,225,1.26,90.00%
Author,2007_EML,519,250,2.08,100.00%
Author / Originator,2007_EML,519,250,2.08,100.00%
Author / Originator Email Address,2007_EML,236,128,0.94,51.20%
Author / Originator Identifier,2007_EML,137,95,0.55,38.00%
Author / Originator World Wide Web Address,2007_EML,368,168,1.47,67.20%
Bounding Box,2007_EML,625,240,2.50,96.00%
Contributor Name,2007_EML,408,184,1.63,73.60%
Contributor Role,2007_EML,228,184,0.91,73.60%
Distribution Format,2007_EML,227,219,0.91,87.60%
Easternmost Longitude,2007_EML,623,240,2.49,96.00%
End Time,2007_EML,238,238,0.95,95.20%
Entity Type Definition,2007_EML,299,215,1.20,86.00%
Entity and Attribute Information,2007_EML,299,215,1.20,86.00%
Instrument,2007_EML,125,27,0.50,10.80%
Keyword,2007_EML,2702,249,10.81,99.60%
Keyword Type,2007_EML,112,47,0.45,18.80%
Keyword Vocabulary,2007_EML,258,116,1.03,46.40%
Maintenance,2007_EML,190,190,0.76,76.00%
Metadata Access Constraints,2007_EML,172,172,0.69,68.80%
Metadata Contact,2007_EML,192,192,0.77,76.80%
Metadata Modified Date,2007_EML,84,23,0.34,9.20%
Metadata Use Constraints,2007_EML,172,172,0.69,68.80%
Northernmost Latitude,2007_EML,624,240,2.50,96.00%
Organization Name,2007_EML,809,221,3.24,88.40%
Originating Organization,2007_EML,236,197,0.94,78.80%
Paleo Temporal Coverage,2007_EML,2,2,0.01,0.80%
Parent Identifier,2007_EML,12,12,0.05,4.80%
Place Keyword,2007_EML,132,37,0.53,14.80%
Process Step,2007_EML,209,209,0.84,83.60%
Project Description,2007_EML,157,157,0.63,62.80%
Project Name,2007_EML,368,168,1.47,67.20%
Publication Date,2007_EML,208,208,0.83,83.20%
Publisher,2007_EML,213,213,0.85,85.20%
Publisher E-Mail,2007_EML,115,115,0.46,46.00%
Publisher URL,2007_EML,115,115,0.46,46.00%
Purpose,2007_EML,11,11,0.04,4.40%
Related Resource Citation,2007_EML,157,157,0.63,62.80%
Related Resource Identifier,2007_EML,12,12,0.05,4.80%
Resource Access Constraints,2007_EML,172,172,0.69,68.80%
Resource Contact,2007_EML,287,250,1.15,100.00%
Resource Creation/Revision Date,2007_EML,292,208,1.17,83.20%
Resource Distribution,2007_EML,240,240,0.96,96.00%
Resource Format,2007_EML,227,219,0.91,87.60%
Resource Identifier,2007_EML,250,250,1.00,100.00%
Resource Identifier Type,2007_EML,250,250,1.00,100.00%
Resource Language,2007_EML,42,42,0.17,16.80%
Resource Lineage,2007_EML,209,209,0.84,83.60%
Resource Long Name,2007_EML,250,250,1.00,100.00%
Resource Quality Description,2007_EML,28,28,0.11,11.20%
Resource Revision Date,2007_EML,84,23,0.34,9.20%
Resource Status,2007_EML,172,172,0.69,68.80%
Resource Title,2007_EML,250,250,1.00,100.00%
Resource Update Frequency,2007_EML,16,16,0.06,6.40%
Resource Use Constraints,2007_EML,248,248,0.99,99.20%
Resource on-line Link,2007_EML,240,240,0.96,96.00%
Responsible Party Identifier,2007_EML,32,15,0.13,6.00%
Responsible Party Identifier Type,2007_EML,2,2,0.01,0.80%
Rights,2007_EML,248,248,0.99,99.20%
Security Constraints,2007_EML,172,172,0.69,68.80%
Southernmost Latitude,2007_EML,623,240,2.49,96.00%
Spatial Extent,2007_EML,644,240,2.58,96.00%
Start Time,2007_EML,236,236,0.94,94.40%
Supplemental Information,2007_EML,9,9,0.04,3.60%
Taxonomic Extent,2007_EML,45,45,0.18,18.00%
Temporal Extent,2007_EML,247,247,0.99,98.80%
Temporal Keyword,2007_EML,10,10,0.04,4.00%
Unknown,2007_EML,64093,250,256.37,100.00%
Vertical Maximum,2007_EML,29,20,0.12,8.00%
Vertical Minimum,2007_EML,39,20,0.16,8.00%
Vertical Resolution,2007_EML,20,20,0.08,8.00%
Westernmost Longitude,2007_EML,624,240,2.50,96.00%
