Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2009_EML,100,100,1.00,100.00%
Abstract,2009_EML,100,100,1.00,100.00%
Attribute Definition,2009_EML,1683,86,16.83,86.00%
Attribute List,2009_EML,124,86,1.24,86.00%
Author,2009_EML,221,100,2.21,100.00%
Author / Originator,2009_EML,221,100,2.21,100.00%
Author / Originator Email Address,2009_EML,35,25,0.35,25.00%
Author / Originator Identifier,2009_EML,131,44,1.31,44.00%
Author / Originator World Wide Web Address,2009_EML,173,75,1.73,75.00%
Bounding Box,2009_EML,318,100,3.18,100.00%
Contributor Name,2009_EML,155,46,1.55,46.00%
Contributor Role,2009_EML,96,46,0.96,46.00%
Distribution Format,2009_EML,86,86,0.86,86.00%
Easternmost Longitude,2009_EML,317,100,3.17,100.00%
End Time,2009_EML,88,88,0.88,88.00%
Entity Type Definition,2009_EML,132,84,1.32,84.00%
Entity and Attribute Information,2009_EML,132,84,1.32,84.00%
Instrument,2009_EML,152,25,1.52,25.00%
Keyword,2009_EML,1126,100,11.26,100.00%
Keyword Type,2009_EML,67,45,0.67,45.00%
Keyword Vocabulary,2009_EML,195,70,1.95,70.00%
Maintenance,2009_EML,39,39,0.39,39.00%
Metadata Access Constraints,2009_EML,78,78,0.78,78.00%
Metadata Contact,2009_EML,44,43,0.44,43.00%
Metadata Modified Date,2009_EML,2,1,0.02,1.00%
Metadata Use Constraints,2009_EML,78,78,0.78,78.00%
Northernmost Latitude,2009_EML,297,100,2.97,100.00%
Organization Name,2009_EML,301,100,3.01,100.00%
Originating Organization,2009_EML,79,78,0.79,78.00%
Parent Identifier,2009_EML,9,9,0.09,9.00%
Place Keyword,2009_EML,25,22,0.25,22.00%
Process Step,2009_EML,89,89,0.89,89.00%
Project Description,2009_EML,63,63,0.63,63.00%
Project Name,2009_EML,173,75,1.73,75.00%
Publication Date,2009_EML,91,91,0.91,91.00%
Publisher,2009_EML,96,96,0.96,96.00%
Publisher E-Mail,2009_EML,32,32,0.32,32.00%
Publisher URL,2009_EML,32,32,0.32,32.00%
Purpose,2009_EML,1,1,0.01,1.00%
Related Resource Citation,2009_EML,63,63,0.63,63.00%
Related Resource Identifier,2009_EML,9,9,0.09,9.00%
Resource Access Constraints,2009_EML,78,78,0.78,78.00%
Resource Contact,2009_EML,117,100,1.17,100.00%
Resource Creation/Revision Date,2009_EML,93,91,0.93,91.00%
Resource Distribution,2009_EML,99,99,0.99,99.00%
Resource Format,2009_EML,86,86,0.86,86.00%
Resource Identifier,2009_EML,100,100,1.00,100.00%
Resource Identifier Type,2009_EML,100,100,1.00,100.00%
Resource Language,2009_EML,48,48,0.48,48.00%
Resource Lineage,2009_EML,89,89,0.89,89.00%
Resource Long Name,2009_EML,100,100,1.00,100.00%
Resource Quality Description,2009_EML,8,8,0.08,8.00%
Resource Revision Date,2009_EML,2,1,0.02,1.00%
Resource Status,2009_EML,78,78,0.78,78.00%
Resource Title,2009_EML,100,100,1.00,100.00%
Resource Update Frequency,2009_EML,2,2,0.02,2.00%
Resource Use Constraints,2009_EML,94,94,0.94,94.00%
Resource on-line Link,2009_EML,99,99,0.99,99.00%
Responsible Party Identifier,2009_EML,49,17,0.49,17.00%
Rights,2009_EML,94,94,0.94,94.00%
Security Constraints,2009_EML,78,78,0.78,78.00%
Southernmost Latitude,2009_EML,292,100,2.92,100.00%
Spatial Extent,2009_EML,318,100,3.18,100.00%
Start Time,2009_EML,88,88,0.88,88.00%
Supplemental Information,2009_EML,2,2,0.02,2.00%
Taxonomic Extent,2009_EML,8,8,0.08,8.00%
Temporal Extent,2009_EML,88,88,0.88,88.00%
Unknown,2009_EML,23838,100,238.38,100.00%
Vertical Maximum,2009_EML,188,43,1.88,43.00%
Vertical Minimum,2009_EML,188,43,1.88,43.00%
Vertical Resolution,2009_EML,43,43,0.43,43.00%
Westernmost Longitude,2009_EML,317,100,3.17,100.00%
