XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,LUQ_2015_EML,393,393,393,393.0
/eml:eml/@packageId,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/@system,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/@xsi:schemaLocation,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/access/@authSystem,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/access/@order,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/access/@scope,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/access/@system,LUQ_2015_EML,393,393,1.00,1.0
/eml:eml/access/allow/permission,LUQ_2015_EML,786,393,2.00,1.0
/eml:eml/access/allow/principal,LUQ_2015_EML,786,393,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,LUQ_2015_EML,221,221,0.56,0.5623409669211196
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,LUQ_2015_EML,302,168,0.77,0.42748091603053434
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,LUQ_2015_EML,173,115,0.44,0.2926208651399491
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,LUQ_2015_EML,591,221,1.50,0.5623409669211196
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,LUQ_2015_EML,173,115,0.44,0.2926208651399491
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,LUQ_2015_EML,302,168,0.77,0.42748091603053434
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,LUQ_2015_EML,173,115,0.44,0.2926208651399491
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,LUQ_2015_EML,302,168,0.77,0.42748091603053434
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,LUQ_2015_EML,193,123,0.49,0.31297709923664124
/eml:eml/dataset/abstract/section/para,LUQ_2015_EML,243,243,0.62,0.6183206106870229
/eml:eml/dataset/abstract/section/para/literalLayout,LUQ_2015_EML,150,150,0.38,0.3816793893129771
/eml:eml/dataset/additionalInfo/para/literalLayout,LUQ_2015_EML,114,114,0.29,0.2900763358778626
/eml:eml/dataset/associatedParty/address/administrativeArea,LUQ_2015_EML,880,376,2.24,0.9567430025445293
/eml:eml/dataset/associatedParty/address/city,LUQ_2015_EML,928,376,2.36,0.9567430025445293
/eml:eml/dataset/associatedParty/address/country,LUQ_2015_EML,1061,376,2.70,0.9567430025445293
