XPath,4013.3.xml,4014.4.xml
/eml:eml/@packageId,1.0,1.0
/eml:eml/@scope,1.0,1.0
/eml:eml/@system,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0
/eml:eml/access,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0
/eml:eml/access/@order,1.0,1.0
/eml:eml/access/@scope,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,9.0,2.0
/eml:eml/dataset/abstract,1.0,1.0
/eml:eml/dataset/abstract/section/para,1.0,1.0
/eml:eml/dataset/additionalInfo,1.0,1.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,3.0,2.0
/eml:eml/dataset/additionalInfo/section/title,3.0,2.0
/eml:eml/dataset/contact,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0
/eml:eml/dataset/contact/phone,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0
/eml:eml/dataset/creator,4.0,4.0
/eml:eml/dataset/creator/address/administrativeArea,2.0,2.0
/eml:eml/dataset/creator/address/city,2.0,2.0
/eml:eml/dataset/creator/address/country,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,4.0,4.0
/eml:eml/dataset/creator/address/postalCode,2.0,2.0
/eml:eml/dataset/creator/electronicMailAddress,4.0,4.0
/eml:eml/dataset/creator/individualName/givenName,2.0,2.0
/eml:eml/dataset/creator/individualName/surName,2.0,2.0
/eml:eml/dataset/creator/phone,2.0,2.0
/eml:eml/dataset/creator/phone/@phonetype,1.0,1.0
/eml:eml/dataset/dataTable/attributeList,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,56.0,14.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,11.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,56.0,15.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,1.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,7.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,2.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,7.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,2.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,3.0,3.0
/eml:eml/dataset/dataTable/entityName,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat,2.0,2.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,1.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,1.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,1.0,1.0
/eml:eml/dataset/dataTable/physical/objectName,1.0,1.0
/eml:eml/dataset/intellectualRights,2.0,2.0
/eml:eml/dataset/intellectualRights/section/para/itemizedlist/listitem/para/literalLayout,4.0,4.0
/eml:eml/dataset/intellectualRights/section/title,1.0,1.0
/eml:eml/dataset/keywordSet/keyword,12.0,12.0
/eml:eml/dataset/keywordSet/keyword/@keywordType,2.0,2.0
/eml:eml/dataset/maintenance,1.0,1.0
/eml:eml/dataset/maintenance/description/section/para/literalLayout,1.0,1.0
/eml:eml/dataset/metadataProvider,1.0,1.0
/eml:eml/dataset/metadataProvider/address/administrativeArea,1.0,1.0
/eml:eml/dataset/metadataProvider/address/city,1.0,1.0
/eml:eml/dataset/metadataProvider/address/country,1.0,1.0
/eml:eml/dataset/metadataProvider/address/deliveryPoint,3.0,3.0
/eml:eml/dataset/metadataProvider/address/postalCode,1.0,1.0
/eml:eml/dataset/metadataProvider/electronicMailAddress,1.0,1.0
/eml:eml/dataset/metadataProvider/organizationName,1.0,1.0
/eml:eml/dataset/metadataProvider/phone,2.0,2.0
/eml:eml/dataset/metadataProvider/phone/@phonetype,2.0,2.0
/eml:eml/dataset/methods,2.0,2.0
/eml:eml/dataset/methods/methodStep/description/para/literalLayout,1.0,1.0
/eml:eml/dataset/pubDate,2.0,2.0
/eml:eml/dataset/publisher,1.0,1.0
/eml:eml/dataset/publisher/address/administrativeArea,1.0,1.0
/eml:eml/dataset/publisher/address/city,1.0,1.0
/eml:eml/dataset/publisher/address/country,1.0,1.0
/eml:eml/dataset/publisher/address/deliveryPoint,3.0,3.0
/eml:eml/dataset/publisher/address/postalCode,1.0,1.0
/eml:eml/dataset/publisher/electronicMailAddress,2.0,2.0
/eml:eml/dataset/publisher/organizationName,1.0,1.0
/eml:eml/dataset/publisher/phone,2.0,2.0
/eml:eml/dataset/publisher/phone/@phonetype,2.0,2.0
/eml:eml/dataset/shortName,1.0,1.0
/eml:eml/dataset/title,2.0,2.0
