Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,MCM_2012_EML,11.0,11.0,1.0,1.0
Resource Identifier,MCM_2012_EML,11.0,11.0,1.0,1.0
Resource Title,MCM_2012_EML,11.0,11.0,1.0,1.0
Author / Originator,MCM_2012_EML,11.0,11.0,1.0,1.0
Metadata Contact,MCM_2012_EML,11.0,11.0,1.0,1.0
Contributor Name,MCM_2012_EML,35.0,5.0,3.18,0.4545454545454545
Publisher,MCM_2012_EML,11.0,11.0,1.0,1.0
Publication Date,MCM_2012_EML,4.0,4.0,0.36,0.3636363636363637
Resource Contact,MCM_2012_EML,11.0,11.0,1.0,1.0
Abstract,MCM_2012_EML,11.0,11.0,1.0,1.0
Keyword,MCM_2012_EML,96.0,11.0,8.73,1.0
Resource Distribution,MCM_2012_EML,11.0,11.0,1.0,1.0
Spatial Extent,MCM_2012_EML,11.0,11.0,1.0,1.0
Taxonomic Extent,MCM_2012_EML,0.0,0.0,0.0,0.0
Temporal Extent,MCM_2012_EML,11.0,11.0,1.0,1.0
Maintenance,MCM_2012_EML,11.0,11.0,1.0,1.0
Resource Use Constraints,MCM_2012_EML,11.0,11.0,1.0,1.0
Process Step,MCM_2012_EML,11.0,11.0,1.0,1.0
Project Description,MCM_2012_EML,0.0,0.0,0.0,0.0
Entity Type Definition,MCM_2012_EML,9.0,2.0,0.82,0.18181818181818185
Attribute Definition,MCM_2012_EML,280.0,11.0,25.45,1.0
Resource Access Constraints,MCM_2012_EML,11.0,11.0,1.0,1.0
Resource Format,MCM_2012_EML,42.0,11.0,3.82,1.0
Attribute List,MCM_2012_EML,42.0,11.0,3.82,1.0
Attribute Constraints,MCM_2012_EML,0.0,0.0,0.0,0.0
Resource Quality Description,MCM_2012_EML,0.0,0.0,0.0,0.0
